City,Day,FirstTeam,FirstToBat,Month,Result,SecondTeam,Venue,Winner,Year
Johannesburg,3,South Africa,1,2,0,West Indies,New Wanderers Stadium,0,2008
Colombo,23,Sri Lanka,1,7,0,Bangladesh,R Premadasa Stadium,0,2007
Auckland,14,India,1,3,0,Zimbabwe,Eden Park,0,2015
Chandigarh,2,India,1,11,0,Australia,"Punjab Cricket Association Stadium, Mohali",1,2009
Christchurch,2,New Zealand,1,1,0,Sri Lanka,Jade Stadium,0,2007
Hambantota,26,Sri Lanka,0,7,0,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,2015
Mirpur,7,Bangladesh,0,1,0,India,Shere Bangla National Stadium,1,2010
Bangalore,13,Australia,0,3,0,Kenya,M Chinnaswamy Stadium,0,2011
London,31,England,1,8,0,South Africa,Kennington Oval,0,2012
Nagpur,14,India,1,10,0,Australia,Vidarbha Cricket Association Ground,1,2007
Faisalabad,7,Pakistan,1,12,0,West Indies,Iqbal Stadium,0,2006
Bangalore,23,India,0,11,0,England,M Chinnaswamy Stadium,0,2008
Abu Dhabi,1,Australia,1,5,0,Pakistan,Sheikh Zayed Stadium,0,2009
Colombo,5,Sri Lanka,1,2,0,India,R Premadasa Stadium,1,2009
Napier,19,New Zealand,0,1,0,India,McLean Park,0,2014
Bulawayo,9,Zimbabwe,0,8,0,Bangladesh,Queens Sports Club,1,2009
Chennai,10,Africa XI,1,6,0,Asia XI,"MA Chidambaram Stadium, Chepauk",1,2007
Lahore,26,Sri Lanka,0,6,0,United Arab Emirates,Gaddafi Stadium,0,2008
Mirpur,17,Bangladesh,1,2,0,Sri Lanka,Shere Bangla National Stadium,1,2014
Karachi,24,Pakistan,0,6,0,Hong Kong,National Stadium,0,2008
Perth,6,Australia,0,2,0,England,Western Australia Cricket Association Ground,0,2011
Dublin,29,Netherlands,0,7,0,Scotland,Clontarf Cricket Club Ground,1,2008
Brisbane,15,Australia,1,1,0,India,"Brisbane Cricket Ground, Woolloongabba",0,2016
Cardiff,16,England,1,9,0,India,Sophia Gardens,0,2011
Jaipur,17,Pakistan,1,10,0,Sri Lanka,Sawai Mansingh Stadium,0,2006
Hobart,16,England,1,1,0,New Zealand,Bellerive Oval,0,2007
Mirpur,8,Bangladesh,0,1,0,Sri Lanka,Shere Bangla National Stadium,1,2010
Dublin,23,Ireland,1,5,1,Pakistan,Clontarf Cricket Club Ground,0,2013
Barbados,21,West Indies,0,4,0,England,"Kensington Oval, Bridgetown",1,2007
Durban,25,South Africa,1,11,0,New Zealand,Kingsmead,0,2007
Darwin,30,Australia,0,8,0,Bangladesh,Marrara Cricket Ground,0,2008
Cardiff,16,England,0,6,0,New Zealand,Sophia Gardens,0,2013
Mirpur,15,Bangladesh,0,6,0,India,Shere Bangla National Stadium,1,2014
Barbados,27,West Indies,1,3,0,England,"Kensington Oval, Bridgetown",0,2009
Cardiff,24,England,1,6,0,Australia,Sophia Gardens,0,2010
Mumbai,14,Sri Lanka,1,10,0,West Indies,Brabourne Stadium,0,2006
Napier,8,New Zealand,1,3,0,Afghanistan,McLean Park,0,2015
Fatullah,26,Bangladesh,0,2,0,India,Khan Shaheb Osman Ali Stadium,1,2014
Nairobi,31,Kenya,0,1,0,Zimbabwe,Gymkhana Club Ground,1,2009
Kanpur,20,India,1,11,0,England,Green Park,0,2008
Hamilton,9,New Zealand,0,3,0,Australia,Seddon Park,1,2010
Guyana,14,West Indies,1,7,0,Pakistan,Providence Stadium,1,2013
London,1,England,1,7,0,Australia,Kennington Oval,0,2012
Cardiff,20,India,1,6,0,Sri Lanka,Sophia Gardens,0,2013
Bloemfontein,17,South Africa,1,1,0,Sri Lanka,Chevrolet Park,0,2012
Bulawayo,16,Zimbabwe,0,8,0,Bangladesh,Queens Sports Club,1,2009
London,11,England,1,9,1,India,Lord's,0,2011
Hambantota,3,Sri Lanka,0,12,0,England,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",1,2014
Kolkata,20,Kenya,1,3,0,Zimbabwe,Eden Gardens,1,2011
Bangalore,29,India,1,9,2,Australia,M Chinnaswamy Stadium,0,2007
Mirpur,31,Bangladesh,1,10,0,Zimbabwe,Shere Bangla National Stadium,0,2009
Jamaica,5,West Indies,1,7,0,New Zealand,"Sabina Park, Kingston",0,2012
Bangalore,16,Australia,1,3,0,Canada,M Chinnaswamy Stadium,0,2011
Perth,4,Australia,0,3,0,Afghanistan,Western Australia Cricket Association Ground,0,2015
Mirpur,8,Pakistan,0,3,0,Sri Lanka,Shere Bangla National Stadium,1,2014
Jaipur,13,Bangladesh,0,10,0,Zimbabwe,Sawai Mansingh Stadium,0,2006
Mount Maunganui,5,New Zealand,0,1,0,Sri Lanka,Bay Oval,0,2016
Cape Town,25,South Africa,0,1,0,West Indies,Newlands,0,2008
St Vincent,12,West Indies,1,3,0,Zimbabwe,"Arnos Vale Ground, Kingstown",0,2010
Colombo,12,Sri Lanka,0,9,0,India,R Premadasa Stadium,0,2009
Bulawayo,8,Zimbabwe,1,9,0,Pakistan,Queens Sports Club,1,2011
Centurion,30,South Africa,1,11,0,Pakistan,SuperSport Park,0,2013
Southampton,22,England,0,9,0,Pakistan,The Rose Bowl,0,2010
Jamaica,21,Pakistan,0,3,0,Zimbabwe,"Sabina Park, Kingston",0,2007
Auckland,7,Pakistan,0,3,0,South Africa,Eden Park,0,2015
Kuala Lumpur,14,India,0,9,0,West Indies,Kinrara Academy Oval,1,2006
Brisbane,20,England,1,1,0,India,"Brisbane Cricket Ground, Woolloongabba",0,2015
Grenada,29,West Indies,0,6,0,Australia,"National Cricket Stadium, St George's",1,2008
Hobart,23,Australia,1,1,0,England,Bellerive Oval,0,2015
Kolkata,24,India,1,12,0,Sri Lanka,Eden Gardens,0,2009
Mirpur,9,Bangladesh,1,4,0,Australia,Shere Bangla National Stadium,1,2011
Jamaica,15,Ireland,0,3,1,Zimbabwe,"Sabina Park, Kingston",0,2007
Visakhapatnam,2,India,1,12,0,West Indies,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,2011
Chittagong,5,Bangladesh,1,11,0,Zimbabwe,Zohur Ahmed Chowdhury Stadium,0,2009
Chester-le-Street,20,England,1,9,0,Australia,Riverside Ground,0,2009
Nagpur,30,India,1,10,0,Australia,"Vidarbha Cricket Association Stadium, Jamtha",0,2013
Chittagong,23,Bangladesh,0,11,0,Zimbabwe,Zahur Ahmed Chowdhury Stadium,0,2014
Dunedin,25,New Zealand,0,1,0,Sri Lanka,University Oval,0,2015
Barbados,29,West Indies,0,3,0,England,"Kensington Oval, Bridgetown",1,2009
Kuala Lumpur,16,Australia,0,9,2,India,Kinrara Academy Oval,0,2006
Bulawayo,7,Zimbabwe,0,12,0,West Indies,Queens Sports Club,1,2007
Mirpur,13,Bangladesh,1,10,0,West Indies,Shere Bangla National Stadium,1,2011
Trinidad,19,Bermuda,1,3,0,India,"Queen's Park Oval, Port of Spain",1,2007
Mirpur,25,Bangladesh,0,2,0,Ireland,Shere Bangla National Stadium,0,2011
Hyderabad,9,India,1,11,0,Sri Lanka,"Rajiv Gandhi International Stadium, Uppal",0,2014
Johannesburg,14,South Africa,1,2,0,Pakistan,New Wanderers Stadium,0,2007
Belfast,25,Ireland,0,8,2,Kenya,"Civil Service Cricket Club, Stormont",0,2008
Karachi,20,Pakistan,1,1,0,Sri Lanka,National Stadium,0,2009
Cardiff,9,New Zealand,1,6,0,Sri Lanka,Sophia Gardens,0,2013
Trinidad,21,Bangladesh,1,3,0,Sri Lanka,"Queen's Park Oval, Port of Spain",1,2007
Bulawayo,5,Zimbabwe,1,5,0,Bangladesh,Queens Sports Club,0,2013
Hambantota,23,Sri Lanka,0,8,0,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",1,2014
Karachi,30,Bangladesh,1,6,0,Sri Lanka,National Stadium,1,2008
St Lucia,25,West Indies,1,3,0,Australia,"Beausejour Stadium, Gros Islet",1,2012
King City,29,Canada,1,6,0,Bermuda,Maple Leaf North-West Ground,1,2008
Hambantota,24,Sri Lanka,1,7,0,India,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,2012
Jamaica,30,West Indies,1,6,0,India,"Sabina Park, Kingston",0,2013
Colombo,22,Sri Lanka,0,7,0,Pakistan,R Premadasa Stadium,1,2015
Chittagong,11,Bangladesh,1,3,0,England,Zahur Ahmed Chowdhury Stadium,0,2011
Gwalior,15,India,1,11,0,Pakistan,Captain Roop Singh Stadium,0,2007
Antigua,29,West Indies,0,3,0,New Zealand,"Sir Vivian Richards Stadium, North Sound",1,2007
Benoni,24,South Africa,1,3,0,Pakistan,Willowmoore Park,0,2013
Bloemfontein,15,South Africa,0,10,0,Zimbabwe,OUTsurance Oval,0,2010
St Lucia,5,West Indies,0,7,2,India,"Beausejour Stadium, Gros Islet",0,2009
Karachi,25,Hong Kong,1,6,0,India,National Stadium,1,2008
Napier,9,New Zealand,0,2,0,Zimbabwe,McLean Park,0,2012
Mirpur,20,Bangladesh,1,2,0,Sri Lanka,Shere Bangla National Stadium,1,2014
Trinidad,11,India,1,7,0,Sri Lanka,"Queen's Park Oval, Port of Spain",0,2013
Mirpur,3,Bangladesh,1,12,0,Zimbabwe,Shere Bangla National Stadium,0,2010
Grenada,14,New Zealand,1,4,0,South Africa,"National Cricket Stadium, St George's",0,2007
Chittagong,6,Bangladesh,1,12,0,Pakistan,Zahur Ahmed Chowdhury Stadium,1,2011
Abu Dhabi,12,Australia,0,10,0,Pakistan,Sheikh Zayed Stadium,0,2014
Grenada,26,West Indies,1,2,0,Zimbabwe,"National Cricket Stadium, St George's",0,2013
Southampton,16,England,0,6,0,West Indies,The Rose Bowl,0,2012
Southampton,28,England,1,8,0,South Africa,The Rose Bowl,1,2012
Bogra,5,Bangladesh,0,12,0,Zimbabwe,Shaheed Chandu Stadium,0,2006
Cape Town,14,South Africa,1,2,0,England,Newlands,0,2016
Lahore,8,Pakistan,0,4,0,Bangladesh,Gaddafi Stadium,0,2008
Brisbane,5,India,0,2,2,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",0,2008
Nelson,2,New Zealand,0,1,2,Sri Lanka,Saxton Oval,0,2016
Lincoln,23,Kenya,1,1,0,Netherlands,Bert Sutcliffe Oval,0,2014
Abu Dhabi,29,Pakistan,0,10,0,South Africa,Sheikh Zayed Stadium,1,2010
Bulawayo,22,Zimbabwe,0,8,0,South Africa,Queens Sports Club,1,2007
London,17,England,1,6,0,Sri Lanka,Lord's,1,2006
Mirpur,25,New Zealand,0,3,0,South Africa,Shere Bangla National Stadium,0,2011
Guwahati,8,India,0,11,0,Australia,Nehru Stadium,1,2009
Barbados,15,Bangladesh,1,4,0,Ireland,"Kensington Oval, Bridgetown",1,2007
Leeds,12,England,1,9,0,Pakistan,Headingley,0,2010
Mirpur,5,India,0,1,0,Sri Lanka,Shere Bangla National Stadium,1,2010
Trinidad,26,West Indies,1,5,0,India,"Queen's Park Oval, Port of Spain",0,2006
Hamilton,8,New Zealand,0,2,0,Australia,Seddon Park,0,2016
Fatullah,25,Pakistan,1,2,0,Sri Lanka,Khan Shaheb Osman Ali Stadium,1,2014
King City,29,Canada,0,8,0,Netherlands,Maple Leaf North-West Ground,1,2013
Christchurch,14,New Zealand,0,2,0,Sri Lanka,Hagley Oval,0,2015
Belfast,29,India,1,6,0,South Africa,"Civil Service Cricket Club, Stormont",0,2007
Nottingham,5,England,0,9,0,South Africa,Trent Bridge,1,2012
Hamilton,28,New Zealand,1,1,0,India,Seddon Park,0,2014
Colombo,18,Sri Lanka,1,6,0,Pakistan,R Premadasa Stadium,0,2012
Centurion,20,South Africa,1,1,0,West Indies,SuperSport Park,0,2008
Antigua,22,West Indies,1,5,0,South Africa,"Sir Vivian Richards Stadium, North Sound",1,2010
Birmingham,4,England,1,7,0,West Indies,Edgbaston,1,2007
Durban,8,South Africa,0,12,0,India,Kingsmead,0,2013
Dublin,31,Ireland,1,7,0,Scotland,Clontarf Cricket Club Ground,0,2008
Hamilton,15,South Africa,0,2,0,Zimbabwe,Seddon Park,0,2015
Birmingham,2,England,0,9,0,India,Edgbaston,1,2014
Nairobi,4,Bermuda,0,2,0,Netherlands,Ruaraka Sports Club Ground,1,2007
Canberra,6,Australia,0,2,0,West Indies,Manuka Oval,0,2013
Wellington,9,New Zealand,1,2,0,England,Westpac Stadium,0,2008
Port Elizabeth,30,South Africa,0,11,0,New Zealand,St George's Park,1,2007
London,8,England,1,9,0,India,Lord's,0,2007
Colombo,13,Sri Lanka,1,6,2,Pakistan,R Premadasa Stadium,0,2012
Nairobi,4,Kenya,1,2,0,Scotland,Gymkhana Club Ground,1,2007
Port Elizabeth,21,South Africa,0,1,0,India,St George's Park,0,2011
Jamaica,17,Ireland,1,3,0,Pakistan,"Sabina Park, Kingston",0,2007
Hyderabad,5,India,1,11,0,Australia,"Rajiv Gandhi International Stadium, Uppal",1,2009
Brisbane,13,Australia,0,2,2,New Zealand,"Brisbane Cricket Ground, Woolloongabba",0,2009
Birmingham,9,England,0,6,0,New Zealand,Edgbaston,0,2015
Guyana,6,West Indies,1,3,0,Zimbabwe,Providence Stadium,0,2010
London,20,England,1,9,0,Pakistan,Lord's,1,2010
Johannesburg,5,South Africa,0,12,0,India,New Wanderers Stadium,0,2013
Colombo,29,Sri Lanka,0,8,0,India,R Premadasa Stadium,0,2008
Birmingham,26,England,0,5,0,West Indies,Edgbaston,0,2009
Rajkot,15,India,0,12,0,Sri Lanka,Madhavrao Scindia Cricket Ground,0,2009
Colombo,16,Sri Lanka,0,6,0,Pakistan,R Premadasa Stadium,0,2012
St Vincent,20,West Indies,1,3,1,Australia,"Arnos Vale Ground, Kingstown",0,2012
Karachi,26,Pakistan,0,6,0,India,National Stadium,1,2008
St Kitts,31,West Indies,0,7,0,Bangladesh,"Warner Park, Basseterre",1,2009
Colombo,20,Sri Lanka,0,8,0,Australia,R Premadasa Stadium,1,2011
Lahore,13,Pakistan,0,4,0,Bangladesh,Gaddafi Stadium,0,2008
Hambantota,12,Sri Lanka,0,11,2,New Zealand,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,2012
Benoni,1,Ireland,1,4,0,Scotland,Willowmoore Park,0,2009
Hyderabad,14,India,0,10,0,England,"Rajiv Gandhi International Stadium, Uppal",0,2011
Canberra,24,West Indies,0,2,0,Zimbabwe,Manuka Oval,0,2015
St Lucia,16,England,0,3,0,New Zealand,"Beausejour Stadium, Gros Islet",1,2007
Perth,15,Australia,0,2,0,Sri Lanka,Western Australia Cricket Association Ground,0,2008
Napier,20,New Zealand,0,2,0,England,McLean Park,1,2013
Perth,12,Australia,1,1,0,India,Western Australia Cricket Association Ground,0,2016
Perth,28,India,1,2,0,United Arab Emirates,Western Australia Cricket Association Ground,0,2015
Nottingham,17,England,1,6,0,New Zealand,Trent Bridge,0,2015
Barbados,13,Australia,1,4,0,Ireland,"Kensington Oval, Bridgetown",0,2007
Chandigarh,20,India,1,10,0,England,"Punjab Cricket Association Stadium, Mohali",0,2011
Aberdeen,9,Scotland,1,5,0,England,Mannofield Park,1,2014
Colombo,3,Sri Lanka,1,2,0,India,R Premadasa Stadium,1,2009
Lahore,31,Pakistan,0,5,2,Zimbabwe,Gaddafi Stadium,0,2015
Cuttack,26,India,1,11,0,England,Barabati Stadium,0,2008
Lahore,29,Pakistan,1,10,0,South Africa,Gaddafi Stadium,1,2007
Indore,8,India,0,12,0,West Indies,Holkar Cricket Stadium,0,2011
Kuala Lumpur,22,Australia,0,9,0,India,Kinrara Academy Oval,0,2006
Mirpur,12,Bangladesh,0,6,0,India,Shere Bangla National Stadium,1,2008
Potchefstroom,27,Bermuda,0,11,0,Canada,Sedgars Park,1,2006
Mirpur,28,Bangladesh,0,11,0,Zimbabwe,Shere Bangla National Stadium,0,2014
Potchefstroom,23,South Africa,0,8,0,New Zealand,Senwes Park,1,2015
Visakhapatnam,24,India,0,11,0,West Indies,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,2013
Centurion,3,South Africa,1,12,0,India,SuperSport Park,0,2006
Bulawayo,3,Zimbabwe,1,5,0,Bangladesh,Queens Sports Club,1,2013
Ahmedabad,5,India,1,12,0,West Indies,"Sardar Patel Stadium, Motera",1,2011
Hobart,7,Ireland,0,3,0,Zimbabwe,Bellerive Oval,0,2015
Jamaica,19,West Indies,1,3,0,Zimbabwe,"Sabina Park, Kingston",0,2007
Auckland,25,New Zealand,0,1,1,India,Eden Park,0,2014
Mirpur,23,Pakistan,1,3,0,West Indies,Shere Bangla National Stadium,0,2011
Hamilton,15,New Zealand,0,1,0,Sri Lanka,Seddon Park,1,2015
Abu Dhabi,27,Pakistan,0,12,0,Sri Lanka,Sheikh Zayed Stadium,1,2013
East London,18,South Africa,1,9,0,Zimbabwe,Buffalo Park,0,2006
Bogra,3,Bangladesh,1,12,0,Zimbabwe,Shaheed Chandu Stadium,0,2006
Nottingham,17,England,1,9,0,Australia,Trent Bridge,1,2009
Belfast,13,Ireland,1,6,0,England,"Civil Service Cricket Club, Stormont",1,2006
London,25,England,0,6,0,New Zealand,Kennington Oval,1,2008
Kochi,8,India,1,10,0,West Indies,Nehru Stadium,1,2014
Mirpur,12,Bangladesh,1,5,0,India,Shere Bangla National Stadium,1,2007
Karachi,3,India,1,7,0,Sri Lanka,National Stadium,0,2008
Auckland,26,New Zealand,1,12,0,Bangladesh,Eden Park,0,2007
Nelson,19,United Arab Emirates,0,2,0,Zimbabwe,Saxton Oval,1,2015
Kanpur,11,India,0,11,0,Pakistan,Green Park,0,2007
Ahmedabad,4,New Zealand,1,3,0,Zimbabwe,"Sardar Patel Stadium, Motera",0,2011
Perth,6,India,1,3,0,West Indies,Western Australia Cricket Association Ground,0,2015
Johannesburg,15,South Africa,1,1,0,India,New Wanderers Stadium,1,2011
Wellington,6,New Zealand,0,2,0,Australia,Westpac Stadium,1,2016
Wellington,21,New Zealand,0,3,0,West Indies,Westpac Stadium,0,2015
Port Elizabeth,25,South Africa,0,1,0,West Indies,St George's Park,1,2015
Dominica,28,West Indies,1,5,0,South Africa,"Windsor Park, Roseau",1,2010
Jaipur,18,India,1,11,0,Pakistan,Sawai Mansingh Stadium,1,2007
Auckland,11,New Zealand,0,3,0,Australia,Eden Park,1,2010
Belfast,23,Ireland,0,6,0,India,"Civil Service Cricket Club, Stormont",1,2007
Bulawayo,18,Zimbabwe,0,8,0,Bangladesh,Queens Sports Club,1,2009
Napier,3,New Zealand,0,2,0,Pakistan,McLean Park,0,2015
Wellington,25,New Zealand,0,2,0,South Africa,Westpac Stadium,1,2012
Centurion,24,South Africa,1,9,0,New Zealand,SuperSport Park,0,2009
Mirpur,29,Bangladesh,1,10,0,Zimbabwe,Shere Bangla National Stadium,0,2009
Nelson,31,New Zealand,0,12,0,Sri Lanka,Saxton Oval,1,2015
Guyana,4,West Indies,1,3,0,Zimbabwe,Providence Stadium,1,2010
Bulawayo,17,Zimbabwe,1,8,0,South Africa,Queens Sports Club,1,2014
St Kitts,22,Netherlands,1,3,0,Scotland,"Warner Park, Basseterre",0,2007
St Kitts,16,West Indies,0,7,0,New Zealand,"Warner Park, Basseterre",0,2012
Amstelveen,7,Canada,0,7,0,Ireland,VRA Ground,1,2010
Birmingham,18,England,0,6,2,New Zealand,Edgbaston,0,2008
Karachi,4,Pakistan,1,7,0,Bangladesh,National Stadium,0,2008
Ahmedabad,24,India,1,3,0,Australia,"Sardar Patel Stadium, Motera",0,2011
Birmingham,23,England,1,6,0,India,Edgbaston,1,2013
Mumbai,2,India,1,4,0,Sri Lanka,Wankhede Stadium,0,2011
Colombo,9,Sri Lanka,1,8,0,Pakistan,R Premadasa Stadium,1,2009
Colombo,6,Sri Lanka,0,2,0,West Indies,Sinhalese Sports Club Ground,0,2011
Kuala Lumpur,20,India,0,9,0,West Indies,Kinrara Academy Oval,0,2006
Trinidad,15,Bermuda,1,3,0,Sri Lanka,"Queen's Park Oval, Port of Spain",1,2007
Kuala Lumpur,18,Australia,0,9,0,West Indies,Kinrara Academy Oval,1,2006
Mirpur,29,Bangladesh,0,10,0,New Zealand,Shere Bangla National Stadium,0,2013
Cardiff,27,England,1,8,0,India,Sophia Gardens,1,2014
Dublin,3,Ireland,0,9,0,England,"The Village, Malahide",1,2013
Mount Maunganui,21,New Zealand,0,10,0,South Africa,Bay Oval,1,2014
Dharmasala,17,India,0,10,0,West Indies,Himachal Pradesh Cricket Association Stadium,0,2014
Manchester,13,England,0,9,0,Australia,Old Trafford,1,2015
Centurion,28,South Africa,0,1,0,West Indies,SuperSport Park,0,2015
Abu Dhabi,3,Australia,0,5,0,Pakistan,Sheikh Zayed Stadium,1,2009
Khulna,2,Bangladesh,0,12,0,West Indies,Sheikh Abu Naser Stadium,0,2012
Auckland,3,New Zealand,0,3,0,South Africa,Eden Park,1,2012
Bulawayo,20,Zimbabwe,1,7,0,Afghanistan,Queens Sports Club,0,2014
Edinburgh,17,Scotland,1,5,0,Pakistan,"Grange Cricket Club Ground, Raeburn Place",1,2013
Johannesburg,25,England,1,9,0,Sri Lanka,New Wanderers Stadium,0,2009
Auckland,3,New Zealand,0,2,0,Australia,Eden Park,0,2016
Belfast,16,Ireland,0,7,0,Bangladesh,"Civil Service Cricket Club, Stormont",1,2010
Durban,28,South Africa,0,10,0,Australia,Kingsmead,1,2011
Khulna,30,Bangladesh,1,11,0,West Indies,Sheikh Abu Naser Stadium,0,2012
Guyana,5,West Indies,1,5,0,Pakistan,Providence Stadium,0,2011
Belfast,23,Ireland,0,6,2,Australia,"Civil Service Cricket Club, Stormont",0,2012
Dharamsala,27,India,0,1,0,England,Himachal Pradesh Cricket Association Stadium,1,2013
Karachi,21,Pakistan,0,1,0,Zimbabwe,National Stadium,0,2008
Nairobi,18,Kenya,1,10,0,Canada,Gymkhana Club Ground,0,2007
Guwahati,28,India,0,11,0,New Zealand,Nehru Stadium,0,2010
Dublin,8,Ireland,0,5,2,England,"The Village, Malahide",0,2015
Benoni,8,South Africa,0,11,0,Zimbabwe,Willowmoore Park,0,2009
Mirpur,2,Bangladesh,0,3,0,England,Shere Bangla National Stadium,1,2010
Dublin,10,Ireland,1,9,0,Scotland,"The Village, Malahide",0,2014
Durban,3,South Africa,1,4,0,Australia,Kingsmead,1,2009
Grenada,20,Australia,0,4,0,New Zealand,"National Cricket Stadium, St George's",0,2007
Colombo,26,Sri Lanka,1,2,0,Pakistan,R Premadasa Stadium,1,2011
Pune,13,India,1,10,0,Australia,Maharashtra Cricket Association Stadium,1,2013
Lahore,24,Pakistan,1,1,0,Sri Lanka,Gaddafi Stadium,1,2009
Hamilton,20,New Zealand,1,2,0,Australia,Seddon Park,0,2007
Mirpur,22,Bangladesh,1,3,0,Pakistan,Shere Bangla National Stadium,1,2012
Jaipur,1,India,1,12,0,New Zealand,Sawai Mansingh Stadium,0,2010
Colombo,8,Sri Lanka,0,9,0,New Zealand,R Premadasa Stadium,0,2009
Johannesburg,26,Australia,0,9,0,West Indies,New Wanderers Stadium,0,2009
Ahmedabad,26,India,0,10,0,West Indies,"Sardar Patel Stadium, Motera",1,2006
London,3,England,0,7,0,Sri Lanka,Lord's,1,2011
Jamaica,28,West Indies,1,6,0,India,"Sabina Park, Kingston",0,2009
Leeds,2,England,1,9,0,India,Headingley,1,2007
Mumbai,18,Australia,1,10,0,West Indies,Brabourne Stadium,1,2006
London,29,England,0,8,0,South Africa,Kennington Oval,0,2008
Nottingham,30,England,0,8,0,India,Trent Bridge,1,2014
Nottingham,8,England,1,9,0,Pakistan,Trent Bridge,0,2006
Canberra,3,Ireland,1,3,0,South Africa,Manuka Oval,1,2015
St Lucia,24,England,1,3,0,Kenya,"Beausejour Stadium, Gros Islet",0,2007
St Kitts,20,Scotland,0,3,0,South Africa,"Warner Park, Basseterre",1,2007
Hambantota,21,Sri Lanka,1,7,0,India,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",1,2012
Bulawayo,24,Zimbabwe,1,7,0,Afghanistan,Queens Sports Club,1,2014
Port Elizabeth,27,South Africa,1,1,0,West Indies,St George's Park,0,2008
Perth,14,Australia,0,11,0,South Africa,Western Australia Cricket Association Ground,0,2014
Delhi,9,India,1,3,0,Netherlands,Feroz Shah Kotla,0,2011
Dublin,19,Ireland,0,9,0,Canada,Clontarf Cricket Club Ground,0,2011
Sind,24,Pakistan,1,1,0,Zimbabwe,"Niaz Stadium, Hyderabad",0,2008
Visakhapatnam,20,India,1,10,0,Australia,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,2010
Nagpur,28,Canada,1,2,0,Zimbabwe,"Vidarbha Cricket Association Stadium, Jamtha",1,2011
Colombo,31,Sri Lanka,0,7,0,South Africa,R Premadasa Stadium,0,2013
Mirpur,1,Bangladesh,1,12,0,Zimbabwe,Shere Bangla National Stadium,1,2010
Trinidad,9,India,0,7,0,Sri Lanka,"Queen's Park Oval, Port of Spain",0,2013
Colombo,1,Sri Lanka,1,11,0,West Indies,R Premadasa Stadium,0,2015
Colombo,16,Sri Lanka,0,12,0,England,R Premadasa Stadium,0,2014
Mirpur,5,Afghanistan,0,3,0,India,Shere Bangla National Stadium,1,2014
Nagpur,22,England,1,2,0,Netherlands,"Vidarbha Cricket Association Stadium, Jamtha",0,2011
St Lucia,3,West Indies,0,7,0,India,"Beausejour Stadium, Gros Islet",1,2009
Christchurch,23,New Zealand,1,2,0,England,AMI Stadium,0,2008
Trinidad,5,West Indies,1,7,0,India,"Queen's Park Oval, Port of Spain",1,2013
Birmingham,10,England,1,9,0,Pakistan,Edgbaston,0,2006
Dubai,28,United Arab Emirates,1,11,0,Afghanistan,ICC Academy,0,2014
Brisbane,18,Australia,0,1,0,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",1,2013
Port Elizabeth,13,South Africa,0,4,0,Australia,St George's Park,0,2009
Cardiff,6,India,0,6,0,South Africa,Sophia Gardens,0,2013
Antigua,24,West Indies,1,5,0,South Africa,"Sir Vivian Richards Stadium, North Sound",1,2010
Durban,12,South Africa,0,1,0,India,Kingsmead,0,2011
