City,Day,FirstTeam,FirstToBat,Month,Result,SecondTeam,Venue,Winner,Year
Antigua,31,Australia,1,3,0,Bangladesh,"Sir Vivian Richards Stadium, North Sound",0,2007
Darwin,3,Australia,1,9,0,Bangladesh,Marrara Cricket Ground,0,2008
Hamilton,27,New Zealand,1,10,2,South Africa,Seddon Park,0,2014
Chandigarh,8,India,0,10,0,Australia,Sector 16 Stadium,0,2007
Guwahati,5,India,1,11,0,Pakistan,Nehru Stadium,0,2007
Abu Dhabi,14,Pakistan,0,11,0,West Indies,Sheikh Zayed Stadium,0,2008
Brisbane,4,Australia,1,3,0,India,"Brisbane Cricket Ground, Woolloongabba",1,2008
Napier,15,United Arab Emirates,0,3,0,West Indies,McLean Park,1,2015
Centurion,27,South Africa,1,9,0,England,SuperSport Park,1,2009
Ahmedabad,10,Sri Lanka,0,10,0,Zimbabwe,"Sardar Patel Stadium, Motera",0,2006
Bulawayo,18,Zimbabwe,1,10,0,Afghanistan,Queens Sports Club,1,2015
Birmingham,3,England,0,6,0,Sri Lanka,Edgbaston,1,2014
St Lucia,19,West Indies,1,7,1,Pakistan,"Beausejour Stadium, Gros Islet",0,2013
Dunedin,3,New Zealand,0,2,0,Zimbabwe,University Oval,0,2012
Chennai,11,India,0,12,0,West Indies,"MA Chidambaram Stadium, Chepauk",0,2011
Perth,1,Australia,1,2,0,West Indies,Western Australia Cricket Association Ground,0,2013
London,12,England,1,6,0,New Zealand,Kennington Oval,1,2015
Ahmedabad,6,India,1,11,0,Sri Lanka,"Sardar Patel Stadium, Motera",0,2014
Nairobi,20,Kenya,1,10,0,Canada,Gymkhana Club Ground,0,2007
Benoni,30,Bermuda,0,11,0,Canada,Willowmoore Park,1,2006
Chittagong,14,Bangladesh,1,3,0,Netherlands,Zahur Ahmed Chowdhury Stadium,0,2011
Chittagong,12,Bangladesh,1,12,0,Zimbabwe,Zahur Ahmed Chowdhury Stadium,0,2010
Colombo,11,India,1,9,0,New Zealand,R Premadasa Stadium,0,2009
Centurion,2,Australia,1,10,0,England,SuperSport Park,0,2009
Colombo,10,Sri Lanka,0,10,0,England,R Premadasa Stadium,1,2007
Colombo,23,Sri Lanka,0,7,0,South Africa,R Premadasa Stadium,0,2013
Delhi,17,India,1,10,0,England,Feroz Shah Kotla,0,2011
Potchefstroom,25,South Africa,1,1,0,New Zealand,Senwes Park,0,2013
Leeds,11,England,1,9,0,Australia,Headingley,0,2015
Canberra,19,Australia,0,11,0,South Africa,Manuka Oval,0,2014
Port Elizabeth,29,South Africa,0,11,0,India,St George's Park,0,2006
Abu Dhabi,13,England,0,11,0,Pakistan,Sheikh Zayed Stadium,0,2015
London,2,England,0,9,0,Pakistan,Lord's,1,2006
London,19,England,1,6,0,West Indies,Kennington Oval,0,2012
Bulawayo,22,Zimbabwe,0,7,0,Afghanistan,Queens Sports Club,1,2014
Mirpur,28,Bangladesh,0,2,0,England,Shere Bangla National Stadium,1,2010
London,6,England,1,9,0,Australia,Lord's,1,2009
Centurion,26,India,1,9,0,Pakistan,SuperSport Park,1,2009
Barbados,2,West Indies,1,5,0,Pakistan,"Kensington Oval, Bridgetown",0,2011
Wellington,6,New Zealand,1,3,2,India,Westpac Stadium,0,2009
Jamaica,26,West Indies,1,6,0,India,"Sabina Park, Kingston",1,2009
Perth,30,England,1,1,0,India,Western Australia Cricket Association Ground,0,2015
Brisbane,1,Pakistan,0,3,0,Zimbabwe,"Brisbane Cricket Ground, Woolloongabba",0,2015
Jaipur,16,India,1,10,0,Australia,Sawai Mansingh Stadium,0,2013
Nairobi,28,Kenya,1,10,0,Bermuda,Gymkhana Club Ground,0,2007
Antigua,2,West Indies,0,3,0,England,"Sir Vivian Richards Stadium, North Sound",1,2014
Chandigarh,23,India,1,1,0,England,"Punjab Cricket Association Stadium, Mohali",0,2013
Colombo,6,Sri Lanka,1,7,0,South Africa,R Premadasa Stadium,1,2014
Glasgow,16,Scotland,0,8,0,India,Titwood,1,2007
Aberdeen,29,Scotland,1,6,0,Netherlands,Mannofield Park,0,2011
Ahmedabad,27,India,1,2,0,South Africa,"Sardar Patel Stadium, Motera",1,2010
Brisbane,4,Australia,0,3,0,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",0,2012
Mirpur,3,Afghanistan,1,3,0,Sri Lanka,Shere Bangla National Stadium,1,2014
Hyderabad,5,India,1,10,0,Australia,"Rajiv Gandhi International Stadium, Uppal",1,2007
Johannesburg,17,South Africa,1,4,0,Australia,New Wanderers Stadium,1,2009
Indore,14,India,0,10,0,South Africa,Holkar Cricket Stadium,0,2015
Mirpur,13,India,0,3,0,Sri Lanka,Shere Bangla National Stadium,0,2012
Fatullah,27,Afghanistan,1,2,0,Pakistan,Khan Shaheb Osman Ali Stadium,1,2014
Antigua,2,Bangladesh,0,4,0,New Zealand,"Sir Vivian Richards Stadium, North Sound",1,2007
Indore,17,India,0,11,0,England,Maharani Usharaje Trust Cricket Ground,0,2008
Brisbane,6,England,0,2,0,New Zealand,"Brisbane Cricket Ground, Woolloongabba",0,2007
Colombo,29,Sri Lanka,1,3,0,New Zealand,R Premadasa Stadium,0,2011
Centurion,23,South Africa,0,1,0,India,SuperSport Park,0,2011
Lahore,10,Pakistan,1,12,0,West Indies,Gaddafi Stadium,0,2006
Napier,3,New Zealand,1,3,0,Australia,McLean Park,0,2010
Mumbai,20,New Zealand,0,10,0,Sri Lanka,Brabourne Stadium,1,2006
Southampton,2,England,1,6,0,New Zealand,The Rose Bowl,1,2013
Grenada,12,New Zealand,0,4,0,Sri Lanka,"National Cricket Stadium, St George's",1,2007
Lahore,18,Pakistan,1,10,0,South Africa,Gaddafi Stadium,1,2007
Wellington,25,New Zealand,0,1,0,Pakistan,Basin Reserve,0,2016
Chandigarh,19,India,0,10,0,Australia,"Punjab Cricket Association Stadium, Mohali",1,2013
Cape Town,9,South Africa,0,4,0,Australia,Newlands,0,2009
Cape Town,18,South Africa,0,1,0,India,Newlands,1,2011
Ahmedabad,28,England,1,10,0,West Indies,"Sardar Patel Stadium, Motera",0,2006
Colombo,20,Sri Lanka,0,7,0,South Africa,R Premadasa Stadium,0,2013
Perth,24,Australia,1,1,0,England,Western Australia Cricket Association Ground,1,2014
Perth,16,Australia,0,11,0,South Africa,Western Australia Cricket Association Ground,1,2014
Bulawayo,11,Zimbabwe,1,8,0,Bangladesh,Queens Sports Club,1,2009
Antigua,11,West Indies,0,6,0,India,"Sir Vivian Richards Stadium, North Sound",1,2011
London,17,England,1,9,0,Pakistan,Kennington Oval,1,2010
Bulawayo,25,Zimbabwe,1,10,0,New Zealand,Queens Sports Club,0,2011
Bloemfontein,15,South Africa,1,9,0,Zimbabwe,Goodyear Park,0,2006
London,17,Australia,1,6,0,Sri Lanka,Kennington Oval,1,2013
Nairobi,12,Kenya,0,8,0,Bangladesh,Gymkhana Club Ground,1,2006
Hobart,28,India,1,2,0,Sri Lanka,Bellerive Oval,0,2012
Bulawayo,1,Zimbabwe,0,6,0,Sri Lanka,Queens Sports Club,1,2010
Bulawayo,14,Zimbabwe,0,8,0,Bangladesh,Queens Sports Club,0,2009
Mirpur,12,Bangladesh,0,3,0,South Africa,Shere Bangla National Stadium,1,2008
Centurion,4,South Africa,0,2,0,Pakistan,SuperSport Park,0,2007
Gwalior,24,India,0,2,0,South Africa,Captain Roop Singh Stadium,0,2010
London,28,England,1,6,0,New Zealand,Lord's,1,2008
Chennai,27,India,0,1,0,West Indies,"MA Chidambaram Stadium, Chepauk",1,2007
Christchurch,23,Canada,1,1,0,Scotland,Hagley Oval,1,2014
Karachi,19,Pakistan,0,4,0,Bangladesh,National Stadium,0,2008
Chennai,10,India,1,12,0,New Zealand,"MA Chidambaram Stadium, Chepauk",0,2010
Manchester,8,England,0,9,0,Australia,Old Trafford,0,2015
Port Elizabeth,23,South Africa,0,10,0,Australia,St George's Park,0,2011
Abu Dhabi,14,Afghanistan,1,1,0,Scotland,Sheikh Zayed Stadium,1,2015
Fatullah,28,India,0,2,0,Sri Lanka,Khan Shaheb Osman Ali Stadium,1,2014
Mirpur,11,Bangladesh,0,1,0,India,Shere Bangla National Stadium,1,2010
St Kitts,25,West Indies,0,8,0,Bangladesh,"Warner Park, Basseterre",0,2014
Perth,29,Australia,0,1,0,Pakistan,Western Australia Cricket Association Ground,0,2010
Colombo,22,Sri Lanka,1,8,0,Australia,R Premadasa Stadium,0,2011
London,2,England,1,9,0,South Africa,Lord's,0,2012
Auckland,14,New Zealand,1,3,0,India,Eden Park,0,2009
Hambantota,25,Sri Lanka,0,3,2,Bangladesh,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,2013
Johannesburg,27,New Zealand,0,9,0,Sri Lanka,New Wanderers Stadium,0,2009
Brisbane,25,Ireland,1,2,0,United Arab Emirates,"Brisbane Cricket Ground, Woolloongabba",0,2015
Dublin,12,Ireland,0,9,0,Scotland,"The Village, Malahide",1,2014
Guyana,3,Ireland,0,4,0,South Africa,Providence Stadium,1,2007
Birmingham,10,Pakistan,1,6,0,South Africa,Edgbaston,1,2013
Dublin,8,Ireland,1,9,0,Scotland,"The Village, Malahide",0,2014
Kuala Lumpur,24,Australia,0,9,0,West Indies,Kinrara Academy Oval,0,2006
Belfast,27,Ireland,1,8,0,Australia,"Civil Service Cricket Club, Stormont",1,2015
Fatullah,1,Bangladesh,1,3,0,Afghanistan,Khan Shaheb Osman Ali Stadium,1,2014
London,19,England,1,6,0,South Africa,Kennington Oval,0,2013
Mirpur,10,India,0,6,0,Pakistan,Shere Bangla National Stadium,0,2008
Port Elizabeth,27,South Africa,1,11,0,Pakistan,St George's Park,1,2013
Rajkot,18,India,1,10,0,South Africa,Saurashtra Cricket Association Stadium,1,2015
Napier,4,Pakistan,0,3,0,United Arab Emirates,McLean Park,0,2015
Centurion,19,South Africa,0,8,0,New Zealand,SuperSport Park,0,2015
Nairobi,17,Ireland,1,10,0,Zimbabwe,Gymkhana Club Ground,1,2008
Mirpur,4,Bangladesh,0,3,0,West Indies,Shere Bangla National Stadium,1,2011
Napier,5,New Zealand,0,2,0,Bangladesh,McLean Park,0,2010
St Kitts,23,West Indies,1,5,0,India,"Warner Park, Basseterre",0,2006
Bangalore,7,India,1,12,0,New Zealand,M Chinnaswamy Stadium,0,2010
Barbados,28,Australia,0,4,0,Sri Lanka,"Kensington Oval, Bridgetown",0,2007
Dublin,5,Ireland,0,7,0,Afghanistan,Clontarf Cricket Club Ground,0,2012
Abu Dhabi,6,Pakistan,1,11,0,South Africa,Sheikh Zayed Stadium,1,2013
Hobart,24,Australia,0,2,0,Sri Lanka,Bellerive Oval,1,2012
Mirpur,14,Bangladesh,0,10,0,New Zealand,Shere Bangla National Stadium,0,2010
Cape Town,24,South Africa,1,11,0,Pakistan,Newlands,1,2013
Abu Dhabi,3,New Zealand,1,11,0,Pakistan,Sheikh Zayed Stadium,1,2009
Christchurch,26,New Zealand,1,12,0,Sri Lanka,Hagley Oval,0,2015
Hamilton,22,New Zealand,0,1,0,India,Seddon Park,0,2014
Belfast,26,India,0,6,0,South Africa,"Civil Service Cricket Club, Stormont",1,2007
Christchurch,28,New Zealand,1,12,0,Sri Lanka,Hagley Oval,0,2015
Napier,20,New Zealand,1,2,1,England,McLean Park,0,2008
Mumbai,23,India,1,10,0,England,Wankhede Stadium,0,2011
Centurion,28,Australia,0,9,2,India,SuperSport Park,0,2009
Hambantota,23,Sri Lanka,1,3,0,Bangladesh,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,2013
Nottingham,8,England,1,7,0,Bangladesh,Trent Bridge,0,2010
St Lucia,23,West Indies,0,3,0,Australia,"Beausejour Stadium, Gros Islet",0,2012
Centurion,9,South Africa,1,2,0,England,SuperSport Park,0,2016
Perth,30,Australia,1,1,0,South Africa,Western Australia Cricket Association Ground,1,2009
St Kitts,14,Australia,0,3,0,Scotland,"Warner Park, Basseterre",0,2007
Jamaica,13,West Indies,0,3,0,Pakistan,"Sabina Park, Kingston",0,2007
Nagpur,28,India,0,10,0,Australia,"Vidarbha Cricket Association Stadium, Jamtha",0,2009
Cape Town,26,South Africa,0,11,0,India,Newlands,0,2006
Hambantota,14,Sri Lanka,0,8,0,Australia,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",1,2011
Rajkot,11,India,1,1,0,England,Saurashtra Cricket Association Stadium,1,2013
Abu Dhabi,6,New Zealand,0,11,0,Pakistan,Sheikh Zayed Stadium,0,2009
Auckland,17,New Zealand,0,1,2,Sri Lanka,Eden Park,0,2015
Jamaica,23,West Indies,1,2,0,Ireland,"Sabina Park, Kingston",0,2014
Rajkot,14,India,0,11,0,England,Madhavrao Scindia Cricket Ground,0,2008
Mirpur,9,Bangladesh,0,11,0,Zimbabwe,Shere Bangla National Stadium,0,2015
Colombo,27,Sri Lanka,1,8,0,India,R Premadasa Stadium,1,2008
East London,14,South Africa,1,1,0,Sri Lanka,Buffalo Park,0,2012
Mirpur,18,Bangladesh,0,6,0,India,Shere Bangla National Stadium,0,2015
Cuttack,2,India,0,11,0,Sri Lanka,Barabati Stadium,0,2014
Wellington,31,New Zealand,0,1,0,India,Westpac Stadium,0,2014
Chester-le-Street,20,England,1,6,0,New Zealand,Riverside Ground,0,2015
Jamaica,23,West Indies,1,3,0,Ireland,"Sabina Park, Kingston",0,2007
Dunedin,8,New Zealand,1,2,0,Bangladesh,University Oval,0,2010
Mirpur,23,Bangladesh,1,1,0,Zimbabwe,Shere Bangla National Stadium,0,2009
Chittagong,18,Bangladesh,1,10,0,West Indies,Zahur Ahmed Chowdhury Stadium,0,2011
Grenada,16,Australia,1,4,0,Sri Lanka,"National Cricket Stadium, St George's",0,2007
Centurion,11,South Africa,0,12,2,India,SuperSport Park,0,2013
Brisbane,3,Australia,1,2,2,India,"Brisbane Cricket Ground, Woolloongabba",0,2008
Chennai,6,England,0,3,0,South Africa,"MA Chidambaram Stadium, Chepauk",0,2011
Hambantota,12,Sri Lanka,1,7,0,South Africa,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",1,2014
Colombo,25,Sri Lanka,0,7,0,Bangladesh,R Premadasa Stadium,0,2007
Centurion,5,South Africa,1,4,0,Australia,SuperSport Park,0,2009
Nottingham,5,England,0,6,0,New Zealand,Trent Bridge,0,2013
Johannesburg,12,South Africa,1,2,0,England,New Wanderers Stadium,0,2016
St Vincent,16,West Indies,1,3,0,Australia,"Arnos Vale Ground, Kingstown",1,2012
Abu Dhabi,12,Pakistan,1,11,0,West Indies,Sheikh Zayed Stadium,0,2008
Hamilton,12,New Zealand,1,2,0,England,Seddon Park,0,2008
Christchurch,23,England,0,2,0,Scotland,Hagley Oval,0,2015
Auckland,5,New Zealand,0,2,0,Pakistan,Eden Park,0,2011
Bulawayo,22,Zimbabwe,0,10,0,Afghanistan,Queens Sports Club,1,2015
Birmingham,15,India,1,6,0,Pakistan,Edgbaston,0,2013
St Vincent,18,West Indies,1,3,0,Australia,"Arnos Vale Ground, Kingstown",0,2012
St Lucia,22,Canada,1,3,0,New Zealand,"Beausejour Stadium, Gros Islet",1,2007
Colombo,4,Sri Lanka,1,11,0,West Indies,R Premadasa Stadium,0,2015
St Lucia,25,Australia,1,4,0,South Africa,"Beausejour Stadium, Gros Islet",0,2007
Benoni,1,Canada,0,12,0,Netherlands,Willowmoore Park,1,2006
Durban,26,South Africa,0,8,0,New Zealand,Kingsmead,0,2015
Auckland,18,New Zealand,1,2,0,Australia,Eden Park,0,2007
Perth,28,Australia,0,1,0,New Zealand,Western Australia Cricket Association Ground,0,2007
Centurion,19,South Africa,1,10,0,Australia,SuperSport Park,1,2011
Abu Dhabi,19,New Zealand,0,12,0,Pakistan,Sheikh Zayed Stadium,0,2014
Nottingham,15,England,0,9,0,Australia,Trent Bridge,1,2009
Benoni,22,South Africa,0,10,0,Zimbabwe,Willowmoore Park,0,2010
Guyana,9,Ireland,1,4,0,New Zealand,Providence Stadium,1,2007
Centurion,22,South Africa,1,9,0,Sri Lanka,SuperSport Park,1,2009
Chittagong,3,Bangladesh,1,11,0,Zimbabwe,Zohur Ahmed Chowdhury Stadium,0,2009
Abu Dhabi,11,England,0,11,0,Pakistan,Sheikh Zayed Stadium,1,2015
Karachi,6,India,1,7,0,Sri Lanka,National Stadium,1,2008
Hambantota,16,Sri Lanka,0,8,0,Australia,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,2011
Chandigarh,25,New Zealand,0,10,0,Pakistan,"Punjab Cricket Association Stadium, Mohali",0,2006
Kuala Lumpur,4,Hong Kong,0,5,0,United Arab Emirates,Kinrara Academy Oval,1,2014
Hamilton,13,New Zealand,1,3,0,Bangladesh,Seddon Park,0,2015
Dunedin,26,Afghanistan,1,2,0,Scotland,University Oval,0,2015
Mirpur,6,Bangladesh,0,3,0,Sri Lanka,Shere Bangla National Stadium,1,2014
Abu Dhabi,31,Australia,0,8,0,Pakistan,Sheikh Zayed Stadium,1,2012
Birmingham,12,England,0,7,0,Bangladesh,Edgbaston,0,2010
Guyana,22,West Indies,0,3,0,England,Providence Stadium,0,2009
Benoni,19,Afghanistan,0,4,0,Scotland,Willowmoore Park,0,2009
London,31,England,1,8,0,South Africa,Lord's,0,2008
Mount Maunganui,24,New Zealand,1,10,0,South Africa,Bay Oval,1,2014
Jamaica,16,West Indies,1,6,0,India,"Sabina Park, Kingston",0,2011
Mirpur,10,Bangladesh,1,1,0,Zimbabwe,Shere Bangla National Stadium,1,2009
Mirpur,14,India,1,6,0,Pakistan,Shere Bangla National Stadium,1,2008
Colombo,29,Sri Lanka,1,11,0,England,R Premadasa Stadium,0,2014
Mirpur,20,Bangladesh,1,3,0,Sri Lanka,Shere Bangla National Stadium,0,2012
Mirpur,2,India,0,3,0,Pakistan,Shere Bangla National Stadium,1,2014
Mirpur,9,Bangladesh,1,12,0,Zimbabwe,Shere Bangla National Stadium,0,2006
Mirpur,7,Bangladesh,1,12,0,West Indies,Shere Bangla National Stadium,1,2012
Bulawayo,21,Zimbabwe,1,8,0,Bangladesh,Queens Sports Club,1,2011
Perth,1,Australia,0,2,0,New Zealand,Western Australia Cricket Association Ground,1,2009
St Kitts,4,West Indies,1,7,0,Australia,"Warner Park, Basseterre",1,2008
Perth,8,India,1,2,0,Sri Lanka,Western Australia Cricket Association Ground,0,2012
Napier,29,New Zealand,0,2,0,South Africa,McLean Park,1,2012
Wellington,13,New Zealand,0,3,0,Australia,Westpac Stadium,0,2010
St Kitts,16,Netherlands,1,3,0,South Africa,"Warner Park, Basseterre",1,2007
Delhi,6,India,0,1,0,Pakistan,Feroz Shah Kotla,0,2013
Kanpur,27,India,1,11,0,West Indies,Green Park,0,2013
Birmingham,11,England,0,9,2,Australia,Edgbaston,0,2013
Perth,1,Australia,0,2,0,England,Western Australia Cricket Association Ground,0,2015
Wellington,29,New Zealand,1,1,0,Sri Lanka,Westpac Stadium,1,2015
Mirpur,26,Bangladesh,0,11,0,Zimbabwe,Shere Bangla National Stadium,0,2014
Bulawayo,3,Zimbabwe,0,8,0,India,Queens Sports Club,1,2013
Johannesburg,23,Pakistan,1,9,0,West Indies,New Wanderers Stadium,0,2009
Mirpur,1,Bangladesh,0,12,0,Pakistan,Shere Bangla National Stadium,1,2011
Colombo,7,Sri Lanka,1,8,0,Pakistan,R Premadasa Stadium,1,2009
Colombo,13,Sri Lanka,0,10,0,England,R Premadasa Stadium,0,2007
Cardiff,14,England,1,9,0,Australia,Sophia Gardens,0,2013
Christchurch,29,New Zealand,1,1,0,Pakistan,AMI Stadium,1,2011
Belfast,24,Ireland,1,6,0,South Africa,"Civil Service Cricket Club, Stormont",1,2007
St Kitts,14,West Indies,0,7,0,New Zealand,"Warner Park, Basseterre",0,2012
St Kitts,18,Australia,0,3,0,Netherlands,"Warner Park, Basseterre",0,2007
Cape Town,11,South Africa,1,2,0,Pakistan,Newlands,0,2007
Southampton,14,England,0,6,0,New Zealand,The Rose Bowl,1,2015
Colombo,26,Sri Lanka,0,11,0,England,R Premadasa Stadium,0,2014
Vadodara,25,India,1,10,0,Australia,Reliance Stadium,1,2009
Amstelveen,7,Netherlands,1,7,0,Ireland,VRA Ground,1,2013
Mirpur,5,Bangladesh,0,12,0,West Indies,Shere Bangla National Stadium,1,2012
Centurion,5,Australia,1,10,0,New Zealand,SuperSport Park,0,2009
Cardiff,3,England,1,9,2,South Africa,Sophia Gardens,0,2008
Chandigarh,30,India,0,3,0,Pakistan,"Punjab Cricket Association Stadium, Mohali",0,2011
Mirpur,19,Bangladesh,1,3,0,South Africa,Shere Bangla National Stadium,1,2011
Delhi,27,India,1,12,2,Sri Lanka,Feroz Shah Kotla,0,2009
London,1,England,0,7,0,West Indies,Lord's,0,2007
Mirpur,4,Bangladesh,0,3,0,Pakistan,Shere Bangla National Stadium,1,2014
Mirpur,27,Bangladesh,0,10,0,Zimbabwe,Shere Bangla National Stadium,1,2009
Nottingham,6,England,1,7,0,Sri Lanka,Trent Bridge,0,2011
Bulawayo,30,India,1,5,0,Sri Lanka,Queens Sports Club,0,2010
Kanpur,11,India,1,10,0,South Africa,Green Park,1,2015
Hobart,20,Australia,0,12,0,New Zealand,Bellerive Oval,0,2007
St Vincent,24,West Indies,1,6,0,Australia,"Arnos Vale Ground, Kingstown",1,2008
Jamaica,7,West Indies,0,7,0,New Zealand,"Sabina Park, Kingston",0,2012
Nairobi,15,Kenya,0,8,0,Bangladesh,Gymkhana Club Ground,1,2006
Brisbane,30,Australia,0,1,0,England,"Brisbane Cricket Ground, Woolloongabba",0,2011
Cape Town,27,South Africa,0,11,0,England,Newlands,0,2009
Hambantota,26,Sri Lanka,0,8,0,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,2014
Nelson,5,Bangladesh,1,3,0,Scotland,Saxton Oval,0,2015
Potchefstroom,7,South Africa,0,11,0,Bangladesh,Senwes Park,0,2008
Kolkata,15,Ireland,1,3,0,South Africa,Eden Gardens,1,2011
Leeds,5,England,0,9,0,India,Headingley,0,2014
Southampton,5,England,0,9,0,Pakistan,The Rose Bowl,1,2006
Mirpur,22,Bangladesh,0,2,0,Sri Lanka,Shere Bangla National Stadium,1,2014
London,12,England,0,9,0,Australia,Lord's,1,2009
Mumbai,25,India,1,10,0,South Africa,Wankhede Stadium,1,2015
Nagpur,18,India,0,12,0,Sri Lanka,"Vidarbha Cricket Association Stadium, Jamtha",1,2009
London,29,England,0,6,0,Australia,Lord's,0,2012
Hamilton,10,India,1,3,0,Ireland,Seddon Park,0,2015
Napier,1,New Zealand,0,2,0,Pakistan,McLean Park,1,2011
Abu Dhabi,17,New Zealand,0,12,0,Pakistan,Sheikh Zayed Stadium,0,2014
Mirpur,18,India,1,3,0,Pakistan,Shere Bangla National Stadium,0,2012
Antigua,13,West Indies,0,6,0,India,"Sir Vivian Richards Stadium, North Sound",0,2011
Birmingham,27,England,0,8,0,India,Edgbaston,0,2007
Wellington,1,England,0,3,0,Sri Lanka,Westpac Stadium,1,2015
Manchester,8,England,1,9,0,Australia,Old Trafford,1,2013
Kolkata,18,Ireland,1,3,0,Netherlands,Eden Gardens,0,2011
Johannesburg,17,South Africa,0,3,0,Pakistan,New Wanderers Stadium,0,2013
Bangalore,6,India,1,3,0,Ireland,M Chinnaswamy Stadium,0,2011
Chester-le-Street,3,England,1,9,2,India,Riverside Ground,0,2011
Kolkata,8,India,1,2,2,Sri Lanka,Eden Gardens,0,2007
Karachi,28,Bangladesh,0,6,0,India,National Stadium,1,2008
Jaipur,2,South Africa,0,11,0,West Indies,Sawai Mansingh Stadium,1,2006
Hambantota,20,Sri Lanka,0,2,0,Canada,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,2011
Vadodara,31,India,0,1,0,West Indies,Indian Petrochemicals Corporation Limited Sports Complex Ground,0,2007
Ahmedabad,21,Australia,0,2,0,Zimbabwe,"Sardar Patel Stadium, Motera",0,2011
St Kitts,24,Australia,0,3,0,South Africa,"Warner Park, Basseterre",0,2007
Hobart,11,Scotland,1,3,0,Sri Lanka,Bellerive Oval,1,2015
Ayr,16,Scotland,0,8,0,Afghanistan,Cambusdoon New Ground,1,2010
Belfast,1,India,1,7,0,South Africa,"Civil Service Cricket Club, Stormont",0,2007
Mount Maunganui,28,Canada,0,1,0,Netherlands,Bay Oval,1,2014
Colombo,1,Sri Lanka,1,3,0,Kenya,R Premadasa Stadium,0,2011
Southampton,3,England,1,9,0,Australia,The Rose Bowl,1,2015
Chittagong,15,Bangladesh,1,7,0,South Africa,Zahur Ahmed Chowdhury Stadium,0,2015
Napier,28,New Zealand,0,12,0,Bangladesh,McLean Park,0,2007
Chennai,17,England,0,3,0,West Indies,"MA Chidambaram Stadium, Chepauk",0,2011
Nairobi,27,Kenya,1,10,0,Bermuda,Gymkhana Club Ground,0,2007
Perth,3,Australia,0,2,0,West Indies,Western Australia Cricket Association Ground,0,2013
Jaipur,21,Australia,1,10,0,England,Sawai Mansingh Stadium,0,2006
Lahore,26,Pakistan,0,5,0,Zimbabwe,Gaddafi Stadium,0,2015
Johannesburg,3,New Zealand,1,10,0,Pakistan,New Wanderers Stadium,0,2009
Belfast,27,Ireland,1,8,0,England,"Civil Service Cricket Club, Stormont",1,2009
Kochi,15,India,0,1,0,England,Nehru Stadium,0,2013
Chittagong,5,Bangladesh,1,3,0,England,Zohur Ahmed Chowdhury Stadium,1,2010
London,31,England,1,5,0,Sri Lanka,Lord's,1,2014
St Lucia,20,Kenya,1,3,0,New Zealand,"Beausejour Stadium, Gros Islet",1,2007
Trinidad,10,West Indies,1,4,0,Sri Lanka,"Queen's Park Oval, Port of Spain",0,2008
Colombo,26,Sri Lanka,1,3,0,England,R Premadasa Stadium,0,2011
Wellington,20,New Zealand,1,2,0,England,Westpac Stadium,0,2015
