Venue,Stadium Win Rate,FirstToBat,Home Field Advantage,SecondTeam,WinLose ratio bat or bowl first against team,Year,DewPoint,Humidity,WindSpeed,Temp,IndianPlayer1,IndianPlayer10,IndianPlayer11,IndianPlayer2,IndianPlayer3,IndianPlayer4,IndianPlayer5,IndianPlayer6,IndianPlayer7,IndianPlayer8,IndianPlayer9,OppositePlayer1,OppositePlayer10,OppositePlayer11,OppositePlayer2,OppositePlayer3,OppositePlayer4,OppositePlayer5,OppositePlayer6,OppositePlayer7,OppositePlayer8,OppositePlayer9,Winner
Madhavrao Scindia Cricket Ground,0.6666666667,0,1,England,1.25,2008,12,39,5,26,RP Singh,Yuvraj Singh,SK Raina,MS Dhoni,V Sehwag,G Gambhir,Z Khan,RG Sharma,Harbhajan Singh,MM Patel,YK Pathan,OA Shah,KP Pietersen,SR Patel,SCJ Broad,MJ Prior,IR Bell,SJ Harmison,RS Bopara,A Flintoff,PD Collingwood,JM Anderson,0
Madhavrao Scindia Cricket Ground,0.6666666667,0,1,Sri Lanka,1.4,2009,11,37,5,22,P Kumar,SK Raina,SR Tendulkar,MS Dhoni,V Sehwag,V Kohli,G Gambhir,A Nehra,Z Khan,Harbhajan Singh,RA Jadeja,TT Samaraweera,AD Mathews,DPMD Jayawardene,SHT Kandamby,KMDN Kulasekara,TM Dilshan,UWMBCA Welegedara,ST Jayasuriya,WU Tharanga,KC Sangakkara,CRD Fernando,0
Madhavrao Scindia Cricket Ground,0.6666666667,1,1,Sri Lanka,1.9,2007,15,60,13,22,SR Tendulkar,A Kumble,S Sreesanth,MS Dhoni,R Dravid,V Sehwag,RV Uthappa,KD Karthik,SC Ganguly,Harbhajan Singh,MM Patel,RP Arnold,MS Atapattu,DPMD Jayawardene,KMDN Kulasekara,TM Dilshan,HMCM Bandara,SL Malinga,ST Jayasuriya,WU Tharanga,KC Sangakkara,MF Maharoof,1
Maharashtra Cricket Association Stadium,0,1,1,Australia,0.6,2013,20,74,3,25,B Kumar,Yuvraj Singh,R Vinay Kumar,MS Dhoni,I Sharma,V Kohli,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,SK Raina,GJ Maxwell,SR Watson,MG Johnson,JP Faulkner,CJ McKay,GJ Bailey,AJ Finch,BJ Haddin,XJ Doherty,AC Voges,PJ Hughes,1
Manuka Oval,0,1,0,Australia,0.6,2016,8,37,10,25,B Kumar,RA Jadeja,AM Rahane,R Dhawan,MS Dhoni,I Sharma,V Kohli,Gurkeerat Singh,RG Sharma,S Dhawan,UT Yadav,GJ Maxwell,NM Lyon,KW Richardson,DA Warner,JP Faulkner,SPD Smith,MR Marsh,GJ Bailey,AJ Finch,MS Wade,JW Hastings,1
McLean Park,0.5,0,0,New Zealand,2,2009,14,75,9,18,P Kumar,SR Tendulkar,,MS Dhoni,V Sehwag,Z Khan,Yuvraj Singh,Harbhajan Singh,MM Patel,SK Raina,YK Pathan,JD Ryder,JDP Oram,BB McCullum,NT Broom,IE O'Brien,LRPL Taylor,KD Mills,MJ Guptill,IG Butler,DL Vettori,GD Elliott,0
McLean Park,0.5,1,0,New Zealand,1.66,2014,7,45,10,21,B Kumar,Mohammed Shami,AM Rahane,MS Dhoni,I Sharma,V Kohli,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,SK Raina,NL McCullum,AF Milne,TG Southee,JD Ryder,MJ McClenaghan,CJ Anderson,LRPL Taylor,KS Williamson,L Ronchi,MJ Guptill,BB McCullum,1
National Stadium,0.6666666667,0,0,Pakistan,1.25,2008,24,65,21,32,PP Chawla,Yuvraj Singh,YK Pathan,P Kumar,MS Dhoni,V Sehwag,I Sharma,G Gambhir,RG Sharma,IK Pathan,SK Raina,Salman Butt,Misbah-ul-Haq,,Saeed Ajmal,Sohail Tanvir,Younis Khan,Nasir Jamshed,Iftikhar Anjum,Shahid Afridi,Mohammad Yousuf,Abdur Rauf,1
National Stadium,0.6666666667,1,0,Bangladesh,3.2,2008,25,70,15,32,RP Singh,SK Raina,,PP Ojha,I Sharma,G Gambhir,RV Uthappa,RG Sharma,YK Pathan,Yuvraj Singh,MS Gony,Mashrafe Mortaza,Raqibul Hasan,Farhad Reza,Mohammad Ashraful,Nazimuddin,Tamim Iqbal,Mushfiqur Rahim,Mahmudullah,Shahadat Hossain,Abdur Razzak,Alok Kapali,0
National Stadium,0.6666666667,1,0,Pakistan,1.375,2008,25,68,13,32,PP Chawla,Yuvraj Singh,SK Raina,RP Singh,P Kumar,MS Dhoni,I Sharma,V Sehwag,G Gambhir,RG Sharma,YK Pathan,Fawad Alam,Misbah-ul-Haq,,Salman Butt,Sohail Tanvir,Younis Khan,Iftikhar Anjum,Umar Gul,Shoaib Malik,Shahid Afridi,Mohammad Yousuf,0
National Stadium,0.6666666667,1,0,Sri Lanka,1.9,2008,24,69,20,31,RP Singh,SK Raina,Yuvraj Singh,P Kumar,PP Ojha,MS Dhoni,V Sehwag,I Sharma,G Gambhir,RG Sharma,IK Pathan,KMDN Kulasekara,CRD Fernando,DPMD Jayawardene,LPC Silva,TM Dilshan,T Thushara,ST Jayasuriya,KC Sangakkara,CK Kapugedera,K Weeraratne,M Muralitharan,0
National Stadium,0.6666666667,1,0,Sri Lanka,1.9,2008,25,73,22,31,RP Singh,SK Raina,Yuvraj Singh,PP Ojha,MS Dhoni,V Sehwag,I Sharma,G Gambhir,RG Sharma,RV Uthappa,IK Pathan,KMDN Kulasekara,BAW Mendis,DPMD Jayawardene,LPC Silva,TM Dilshan,T Thushara,ST Jayasuriya,KC Sangakkara,CK Kapugedera,WPUJC Vaas,M Muralitharan,1
Nehru Stadium,0.6666666667,0,1,Australia,0.5,2009,20,76,1,25,P Kumar,Yuvraj Singh,SR Tendulkar,MS Dhoni,V Sehwag,A Nehra,G Gambhir,Harbhajan Singh,RA Jadeja,MM Patel,SK Raina,RT Ponting,MEK Hussey,,CJ McKay,AC Voges,NM Hauritz,SR Watson,SE Marsh,CL White,MG Johnson,DE Bollinger,1
Nehru Stadium,0.6666666667,0,1,England,1.25,2013,18,65,3,27,B Kumar,Shami Ahmed,AM Rahane,MS Dhoni,I Sharma,V Kohli,G Gambhir,RA Jadeja,R Ashwin,SK Raina,Yuvraj Singh,C Kieswetter,JE Root,SR Patel,JW Dernbach,JC Tredwell,IR Bell,ST Finn,EJG Morgan,AN Cook,KP Pietersen,CR Woakes,0
Nehru Stadium,0.6666666667,0,1,New Zealand,2,2010,19,84,2,22,V Kohli,S Sreesanth,M Vijay,G Gambhir,A Nehra,Yuvraj Singh,WP Saha,R Ashwin,MM Patel,SK Raina,YK Pathan,NL McCullum,JM How,GD Elliott,AJ McKay,DR Tuffey,LRPL Taylor,KS Williamson,KD Mills,MJ Guptill,SB Styris,GJ Hopkins,0
Nehru Stadium,0.6666666667,1,1,Pakistan,1.375,2007,21,77,1,26,RP Singh,Yuvraj Singh,SR Tendulkar,MS Dhoni,Z Khan,G Gambhir,M Kartik,RV Uthappa,SC Ganguly,Harbhajan Singh,IK Pathan,Salman Butt,Misbah-ul-Haq,Abdur Rehman,Kamran Akmal,Younis Khan,Shoaib Akhtar,Iftikhar Anjum,Umar Gul,Shoaib Malik,Shahid Afridi,Mohammad Yousuf,0
Nehru Stadium,0.6666666667,1,1,West Indies,1.64,2013,22,69,2,28,B Kumar,Yuvraj Singh,Mohammed Shami,MS Dhoni,V Kohli,JD Unadkat,RG Sharma,S Dhawan,RA Jadeja,R Ashwin,SK Raina,R Rampaul,MN Samuels,DJG Sammy,DM Bravo,N Deonarine,CH Gayle,SP Narine,LMP Simmons,JO Holder,DJ Bravo,J Charles,0
Nehru Stadium,0.6666666667,1,1,West Indies,1.64,2014,24,83,8,28,B Kumar,Mohammed Shami,AM Rahane,A Mishra,AT Rayudu,MS Dhoni,V Kohli,MM Sharma,S Dhawan,RA Jadeja,SK Raina,R Rampaul,DJG Sammy,JE Taylor,DM Bravo,MN Samuels,SJ Benn,D Ramdin,DR Smith,AD Russell,DJ Bravo,KA Pollard,1
New Wanderers Stadium,0.6666666667,0,0,South Africa,2.33,2011,16,80,16,18,MS Dhoni,SR Tendulkar,M Vijay,V Kohli,Z Khan,A Nehra,RG Sharma,Harbhajan Singh,MM Patel,SK Raina,Yuvraj Singh,DW Steyn,GC Smith,DA Miller,JP Duminy,LL Tsotsobe,M Morkel,AB de Villiers,J Botha,CA Ingram,WD Parnell,HM Amla,0
New Wanderers Stadium,0.6666666667,1,0,South Africa,0.666,2013,12,68,14,18,B Kumar,Yuvraj Singh,Mohammed Shami,MS Dhoni,V Kohli,MM Sharma,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,SK Raina,DW Steyn,HM Amla,DA Miller,JP Duminy,AB de Villiers,LL Tsotsobe,M Morkel,JH Kallis,Q de Kock,R McLaren,WD Parnell,1
New Wanderers Stadium,0.6666666667,1,0,West Indies,1.64,2009,9,75,18,14,A Mishra,AM Nayar,,P Kumar,MS Dhoni,R Dravid,A Nehra,G Gambhir,V Kohli,KD Karthik,Harbhajan Singh,DS Smith,DJG Sammy,NO Miller,KOA Powell,FL Reifer,ADS Fletcher,DE Bernard,RT Crandon,GC Tonge,TM Dowlin,KAJ Roach,0
Newlands,0.5,1,0,South Africa,0.666,2011,16,72,16,22,MS Dhoni,SK Raina,M Vijay,A Nehra,Z Khan,V Kohli,RG Sharma,Harbhajan Singh,MM Patel,YK Pathan,Yuvraj Singh,DW Steyn,GC Smith,F du Plessis,AB de Villiers,JP Duminy,M Morkel,LL Tsotsobe,J Botha,CA Ingram,WD Parnell,HM Amla,0
Newlands,0.5,1,0,South Africa,0.666,2006,13,70,18,18,AB Agarkar,IK Pathan,SR Tendulkar,MS Dhoni,V Sehwag,R Dravid,Z Khan,KD Karthik,Harbhajan Singh,M Kaif,A Kumble,AB de Villiers,GC Smith,JH Kallis,CK Langeveldt,LE Bosman,AJ Hall,MV Boucher,HH Gibbs,M Ntini,SM Pollock,JM Kemp,1
Old Trafford,0,0,0,England,1.25,2007,12,83,14,15,AB Agarkar,Yuvraj Singh,SR Tendulkar,PP Chawla,RP Singh,RR Powar,MS Dhoni,R Dravid,Z Khan,KD Karthik,SC Ganguly,OA Shah,AN Cook,KP Pietersen,SCJ Broad,MJ Prior,IR Bell,RS Bopara,A Flintoff,PD Collingwood,JM Anderson,MS Panesar,1
"Queen's Park Oval, Port of Spain",0.6,0,0,Bangladesh,1.67,2007,21,70,9,26,AB Agarkar,Yuvraj Singh,SR Tendulkar,MS Dhoni,R Dravid,V Sehwag,Z Khan,RV Uthappa,SC Ganguly,Harbhajan Singh,MM Patel,Mashrafe Mortaza,Shakib Al Hasan,Shahriar Nafees,Mohammad Ashraful,Tamim Iqbal,Mushfiqur Rahim,Syed Rasel,Mohammad Rafique,Abdur Razzak,Aftab Ahmed,Habibul Bashar,1
"Queen's Park Oval, Port of Spain",0.6,0,0,Sri Lanka,1.4,2013,24,84,3,28,B Kumar,SK Raina,,I Sharma,V Kohli,RG Sharma,KD Karthik,S Dhawan,UT Yadav,RA Jadeja,R Ashwin,LHD Dilhara,LD Chandimal,DPMD Jayawardene,RMS Eranga,HMRKB Herath,HDRL Thirimanne,BMAJ Mendis,SL Malinga,WU Tharanga,KC Sangakkara,AD Mathews,0
"Queen's Park Oval, Port of Spain",0.6,0,0,West Indies,1.22,2006,23,75,8,28,AB Agarkar,Yuvraj Singh,S Sreesanth,RR Powar,MS Dhoni,R Dravid,V Sehwag,Harbhajan Singh,M Kaif,IK Pathan,SK Raina,RR Sarwan,IDR Bradshaw,,CH Gayle,BC Lara,CD Collymore,FH Edwards,DR Smith,WW Hinds,DJ Bravo,MN Samuels,1
"Queen's Park Oval, Port of Spain",0.6,0,0,West Indies,1.22,2013,23,71,5,28,B Kumar,SK Raina,M Vijay,I Sharma,V Kohli,RG Sharma,KD Karthik,S Dhawan,RA Jadeja,R Ashwin,UT Yadav,DM Bravo,KA Pollard,DJG Sammy,CH Gayle,D Ramdin,SP Narine,TL Best,KAJ Roach,DJ Bravo,J Charles,MN Samuels,0
"Queen's Park Oval, Port of Spain",0.6,1,0,Sri Lanka,1.9,2007,21,74,11,26,AB Agarkar,Yuvraj Singh,SR Tendulkar,MS Dhoni,V Sehwag,R Dravid,Z Khan,RV Uthappa,SC Ganguly,Harbhajan Singh,MM Patel,RP Arnold,CRD Fernando,DPMD Jayawardene,LPC Silva,TM Dilshan,SL Malinga,ST Jayasuriya,WU Tharanga,KC Sangakkara,WPUJC Vaas,M Muralitharan,1
"Queen's Park Oval, Port of Spain",0.6,1,0,Sri Lanka,1.9,2013,23,69,7,28,B Kumar,SK Raina,R Vinay Kumar,MS Dhoni,I Sharma,V Kohli,RG Sharma,KD Karthik,S Dhawan,R Ashwin,RA Jadeja,MDKJ Perera,LD Chandimal,DPMD Jayawardene,HMRKB Herath,RMS Eranga,RAS Lakmal,HDRL Thirimanne,SL Malinga,WU Tharanga,KC Sangakkara,AD Mathews,0
"Queen's Park Oval, Port of Spain",0.6,1,0,West Indies,1.64,2006,23,74,11,28,AB Agarkar,Yuvraj Singh,S Sreesanth,MS Dhoni,V Sehwag,R Dravid,RV Uthappa,Harbhajan Singh,M Kaif,MM Patel,SK Raina,D Mohammed,JE Taylor,,CH Gayle,D Ramdin,BC Lara,DR Smith,WW Hinds,DJ Bravo,RR Sarwan,S Chattergoon,1
"Queen's Park Oval, Port of Spain",0.6,1,0,West Indies,1.64,2011,24,80,7,29,A Mishra,YK Pathan,SK Raina,P Kumar,V Kohli,S Badrinath,RG Sharma,S Dhawan,Harbhajan Singh,PA Patel,MM Patel,R Rampaul,A Martin,DJG Sammy,DM Bravo,RR Sarwan,LMP Simmons,KA Edwards,DJ Bravo,CS Baugh,D Bishoo,MN Samuels,0
"Queen's Park Oval, Port of Spain",0.6,1,0,West Indies,1.64,2011,25,81,7,29,A Mishra,SK Raina,,P Kumar,V Kohli,RG Sharma,S Dhawan,Harbhajan Singh,PA Patel,MM Patel,YK Pathan,R Rampaul,A Martin,DJG Sammy,MN Samuels,RR Sarwan,LMP Simmons,KA Edwards,DJ Bravo,CS Baugh,D Bishoo,KA Pollard,0
Queens Sports Club,0,1,0,Sri Lanka,1.9,2010,12,83,13,14,A Mishra,M Vijay,,PP Ojha,V Kohli,RG Sharma,KD Karthik,UT Yadav,RA Jadeja,SK Raina,AB Dinda,S Randiv,CRD Fernando,BAW Mendis,TT Samaraweera,KMDN Kulasekara,LPC Silva,TM Dilshan,WU Tharanga,CK Kapugedera,NLTC Perera,AD Mathews,0
R Premadasa Stadium,0.75,0,0,Sri Lanka,1.4,2008,23,74,13,28,P Kumar,SK Raina,Yuvraj Singh,MS Dhoni,V Kohli,G Gambhir,Z Khan,S Badrinath,RG Sharma,Harbhajan Singh,MM Patel,KMDN Kulasekara,BAW Mendis,DPMD Jayawardene,T Thushara,LPC Silva,TM Dilshan,WPUJC Vaas,M Muralitharan,ST Jayasuriya,KC Sangakkara,CK Kapugedera,0
R Premadasa Stadium,0.75,0,0,Sri Lanka,1.4,2009,23,74,13,28,RP Singh,YK Pathan,SR Tendulkar,MS Dhoni,R Dravid,V Kohli,A Nehra,I Sharma,Yuvraj Singh,Harbhajan Singh,SK Raina,KMDN Kulasekara,BAW Mendis,DPMD Jayawardene,T Thushara,TM Dilshan,SHT Kandamby,SL Malinga,ST Jayasuriya,KC Sangakkara,CK Kapugedera,AD Mathews,0
R Premadasa Stadium,0.75,0,0,Sri Lanka,1.4,2009,17,61,10,26,P Kumar,SR Tendulkar,YK Pathan,MS Dhoni,PP Ojha,V Sehwag,I Sharma,G Gambhir,Z Khan,SK Raina,Yuvraj Singh,KMDN Kulasekara,MF Maharoof,DPMD Jayawardene,T Thushara,TM Dilshan,SHT Kandamby,ST Jayasuriya,M Muralitharan,KC Sangakkara,CK Kapugedera,BAW Mendis,0
R Premadasa Stadium,0.75,0,0,Sri Lanka,1.4,2009,18,62,9,26,P Kumar,YK Pathan,SK Raina,MS Dhoni,PP Ojha,V Sehwag,I Sharma,G Gambhir,RG Sharma,Yuvraj Singh,IK Pathan,KMDN Kulasekara,MF Maharoof,DPMD Jayawardene,SHT Kandamby,TM Dilshan,ST Jayasuriya,M Muralitharan,KC Sangakkara,CK Kapugedera,CRD Fernando,AD Mathews,0
R Premadasa Stadium,0.75,0,0,Sri Lanka,1.4,2009,20,76,9,26,P Kumar,SR Tendulkar,YK Pathan,MS Dhoni,PP Ojha,V Sehwag,I Sharma,G Gambhir,Z Khan,SK Raina,Yuvraj Singh,KMDN Kulasekara,MF Maharoof,DPMD Jayawardene,SHT Kandamby,TM Dilshan,ST Jayasuriya,M Muralitharan,KC Sangakkara,CK Kapugedera,CRD Fernando,BAW Mendis,0
R Premadasa Stadium,0.75,0,0,Sri Lanka,1.4,2008,23,83,9,27,P Kumar,SK Raina,Yuvraj Singh,MS Dhoni,V Kohli,G Gambhir,Z Khan,S Badrinath,RG Sharma,Harbhajan Singh,MM Patel,KMDN Kulasekara,BAW Mendis,DPMD Jayawardene,T Thushara,TM Dilshan,WPUJC Vaas,M Muralitharan,ST Jayasuriya,KC Sangakkara,CK Kapugedera,SM Warnapura,0
R Premadasa Stadium,0.75,1,0,New Zealand,1.66,2009,23,76,10,28,SR Tendulkar,Yuvraj Singh,YK Pathan,RP Singh,MS Dhoni,I Sharma,A Nehra,R Dravid,KD Karthik,Harbhajan Singh,SK Raina,JD Ryder,GD Elliott,BB McCullum,SE Bond,JDP Oram,NT Broom,LRPL Taylor,KD Mills,MJ Guptill,IG Butler,DL Vettori,0
R Premadasa Stadium,0.75,1,0,Sri Lanka,1.9,2009,17,61,11,26,MS Dhoni,YK Pathan,SK Raina,V Sehwag,I Sharma,L Balaji,G Gambhir,RG Sharma,Yuvraj Singh,RA Jadeja,IK Pathan,SHT Kandamby,MF Maharoof,DPMD Jayawardene,T Thushara,TM Dilshan,KMDN Kulasekara,ST Jayasuriya,KC Sangakkara,CK Kapugedera,M Muralitharan,BAW Mendis,1
R Premadasa Stadium,0.75,1,0,Sri Lanka,1.9,2012,23,73,15,28,R Sharma,SK Raina,AB Dinda,MS Dhoni,V Sehwag,V Kohli,Z Khan,G Gambhir,RG Sharma,R Ashwin,IK Pathan,HMRKB Herath,I Udana,DPMD Jayawardene,TM Dilshan,BMAJ Mendis,SL Malinga,WU Tharanga,KC Sangakkara,NLTC Perera,AD Mathews,LD Chandimal,0
R Premadasa Stadium,0.75,1,0,Sri Lanka,1.9,2012,23,75,15,29,V Sehwag,AB Dinda,,V Kohli,Z Khan,G Gambhir,RG Sharma,R Ashwin,IK Pathan,MK Tiwary,SK Raina,HMRKB Herath,LD Chandimal,DPMD Jayawardene,TM Dilshan,HDRL Thirimanne,BMAJ Mendis,SL Malinga,WU Tharanga,N Pradeep,NLTC Perera,AD Mathews,0
R Premadasa Stadium,0.75,1,0,Sri Lanka,1.9,2009,23,76,10,28,SR Tendulkar,Yuvraj Singh,SK Raina,RP Singh,MS Dhoni,I Sharma,A Nehra,R Dravid,KD Karthik,Harbhajan Singh,YK Pathan,SHT Kandamby,BAW Mendis,DPMD Jayawardene,KMDN Kulasekara,TM Dilshan,T Thushara,SL Malinga,ST Jayasuriya,KC Sangakkara,CK Kapugedera,AD Mathews,1
R Premadasa Stadium,0.75,1,0,Sri Lanka,1.9,2008,23,83,11,28,RP Singh,SK Raina,Yuvraj Singh,PP Ojha,MS Dhoni,V Kohli,Z Khan,G Gambhir,RG Sharma,MM Patel,IK Pathan,KMDN Kulasekara,BAW Mendis,DPMD Jayawardene,T Thushara,ST Jayasuriya,KC Sangakkara,CK Kapugedera,J Mubarak,ML Udawatte,CRD Fernando,SM Warnapura,1
"Rajiv Gandhi International Stadium, Uppal",0.5,0,1,England,1.25,2011,20,57,4,28,P Kumar,R Vinay Kumar,AM Rahane,MS Dhoni,V Kohli,G Gambhir,RA Jadeja,PA Patel,R Ashwin,UT Yadav,SK Raina,GP Swann,KP Pietersen,SR Patel,C Kieswetter,JW Dernbach,TT Bresnan,IJL Trott,JM Bairstow,ST Finn,RS Bopara,AN Cook,0
"Rajiv Gandhi International Stadium, Uppal",0.5,1,1,Australia,0.6,2009,17,55,8,24,P Kumar,Yuvraj Singh,SR Tendulkar,MS Dhoni,V Sehwag,A Nehra,G Gambhir,Harbhajan Singh,RA Jadeja,MM Patel,SK Raina,RT Ponting,MEK Hussey,,CJ McKay,AC Voges,SR Watson,DE Bollinger,SE Marsh,BW Hilfenhaus,NM Hauritz,CL White,1
"Rajiv Gandhi International Stadium, Uppal",0.5,1,1,Australia,0.6,2007,20,66,5,25,SR Tendulkar,Yuvraj Singh,S Sreesanth,MS Dhoni,R Dravid,Z Khan,G Gambhir,RV Uthappa,RG Sharma,Harbhajan Singh,IK Pathan,RT Ponting,MG Johnson,GB Hogg,BJ Hodge,MJ Clarke,ML Hayden,B Lee,A Symonds,AC Gilchrist,SR Clark,JR Hopes,1
"Rajiv Gandhi International Stadium, Uppal",0.5,1,1,Sri Lanka,1.9,2014,12,43,8,24,AT Rayudu,SK Raina,AM Rahane,I Sharma,V Kohli,AR Patel,WP Saha,S Dhawan,R Ashwin,UT Yadav,DS Kulkarni,MDKJ Perera,S Prasanna,DPMD Jayawardene,KMDN Kulasekara,TM Dilshan,PLS Gamage,KC Sangakkara,NLTC Perera,AD Mathews,SMA Priyanjan,PC de Silva,0
"Sabina Park, Kingston",0.286,0,0,West Indies,1.22,2013,23,69,24,28,B Kumar,UT Yadav,SK Raina,MS Dhoni,I Sharma,V Kohli,RG Sharma,KD Karthik,S Dhawan,RA Jadeja,R Ashwin,DS Smith,KA Pollard,DJG Sammy,DM Bravo,CH Gayle,D Ramdin,SP Narine,TL Best,KAJ Roach,J Charles,MN Samuels,1
"Sabina Park, Kingston",0.286,0,0,West Indies,1.22,2009,22,63,25,30,RP Singh,YK Pathan,Yuvraj Singh,P Kumar,MS Dhoni,A Nehra,G Gambhir,RG Sharma,KD Karthik,Harbhajan Singh,RA Jadeja,R Rampaul,,,SJ Benn,CH Gayle,DE Bernard,RS Morton,DJ Bravo,RR Sarwan,JE Taylor,S Chanderpaul,1
"Sabina Park, Kingston",0.286,0,0,West Indies,1.22,2009,21,62,21,30,RP Singh,YK Pathan,Yuvraj Singh,MS Dhoni,I Sharma,A Nehra,G Gambhir,RG Sharma,KD Karthik,Harbhajan Singh,RA Jadeja,DM Bravo,JE Taylor,S Chanderpaul,SJ Benn,CH Gayle,D Ramdin,DE Bernard,RS Morton,DJ Bravo,RR Sarwan,LS Baker,0
"Sabina Park, Kingston",0.286,0,0,West Indies,1.22,2011,21,64,13,28,A Mishra,YK Pathan,R Vinay Kumar,I Sharma,V Kohli,RG Sharma,S Dhawan,R Ashwin,PA Patel,MK Tiwary,SK Raina,DM Bravo,DJG Sammy,,MN Samuels,RR Sarwan,AB Barath,LMP Simmons,KAJ Roach,AD Russell,KA Pollard,A Martin,1
"Sabina Park, Kingston",0.286,1,0,Sri Lanka,1.9,2013,23,72,20,26,I Sharma,Mohammed Shami,M Vijay,V Kohli,RG Sharma,KD Karthik,S Dhawan,R Ashwin,RA Jadeja,UT Yadav,SK Raina,HMRKB Herath,,,KMDN Kulasekara,SL Malinga,WU Tharanga,SMSM Senanayake,AD Mathews,DPMD Jayawardene,,,1
"Sardar Patel Stadium, Motera",0.4,0,1,West Indies,1.22,2006,17,51,3,28,AB Agarkar,Yuvraj Singh,SR Tendulkar,RP Singh,MS Dhoni,R Dravid,V Sehwag,Harbhajan Singh,MM Patel,IK Pathan,SK Raina,RR Sarwan,JE Taylor,S Chanderpaul,CH Gayle,BC Lara,RS Morton,DR Smith,CS Baugh,DJ Bravo,MN Samuels,IDR Bradshaw,1
"Sardar Patel Stadium, Motera",0.4,1,1,Australia,0.6,2011,13,38,3,28,MS Dhoni,Yuvraj Singh,SR Tendulkar,V Sehwag,V Kohli,Z Khan,G Gambhir,Harbhajan Singh,R Ashwin,MM Patel,SK Raina,RT Ponting,MEK Hussey,JJ Krejza,MJ Clarke,BJ Haddin,B Lee,SR Watson,SW Tait,DJ Hussey,MG Johnson,CL White,0
"Sardar Patel Stadium, Motera",0.4,1,1,South Africa,0.666,2010,7,36,5,26,MS Dhoni,S Tyagi,M Vijay,V Kohli,RG Sharma,KD Karthik,A Mithun,RA Jadeja,YK Pathan,SK Raina,S Sreesanth,DW Steyn,,,AB de Villiers,LL Tsotsobe,M Morkel,LE Bosman,J Botha,HM Amla,RE van der Merwe,JH Kallis,1
