City,Day,FirstTeam,FirstToBat,IndianPlayer1,IndianPlayer10,IndianPlayer11,IndianPlayer2,IndianPlayer3,IndianPlayer4,IndianPlayer5,IndianPlayer6,IndianPlayer7,IndianPlayer8,IndianPlayer9,Month,OppositePlayer1,OppositePlayer10,OppositePlayer11,OppositePlayer2,OppositePlayer3,OppositePlayer4,OppositePlayer5,OppositePlayer6,OppositePlayer7,OppositePlayer8,OppositePlayer9,Result,SecondTeam,Venue,Winner,Year
Perth,28,India,1,B Kumar,,,V Kohli,MM Sharma,RG Sharma,S Dhawan,R Ashwin,UT Yadav,RA Jadeja,,2,Khurram Khan,Amjad Javed,Amjad Ali,AR Berenger,Mohammad Tauqir,AM Guruge,Mohammad Naveed,Shaiman Anwar,Krishna Chandran,SP Patil,Rohan Mustafa,0,United Arab Emirates,Western Australia Cricket Association Ground,0,2015
Chandigarh,20,India,1,P Kumar,R Vinay Kumar,AM Rahane,MS Dhoni,V Kohli,G Gambhir,R Ashwin,RA Jadeja,UT Yadav,PA Patel,SK Raina,10,GP Swann,SR Patel,,IJL Trott,C Kieswetter,TT Bresnan,JW Dernbach,ST Finn,RS Bopara,AN Cook,KP Pietersen,0,England,"Punjab Cricket Association Stadium, Mohali",0,2011
Colombo,3,Sri Lanka,1,P Kumar,SR Tendulkar,YK Pathan,MS Dhoni,PP Ojha,V Sehwag,I Sharma,G Gambhir,Z Khan,SK Raina,Yuvraj Singh,2,KMDN Kulasekara,MF Maharoof,DPMD Jayawardene,SHT Kandamby,TM Dilshan,ST Jayasuriya,M Muralitharan,KC Sangakkara,CK Kapugedera,CRD Fernando,BAW Mendis,0,India,R Premadasa Stadium,1,2009
Cuttack,26,India,1,MS Dhoni,SR Tendulkar,,V Sehwag,I Sharma,Z Khan,RG Sharma,Harbhajan Singh,IK Pathan,SK Raina,Yuvraj Singh,11,OA Shah,SJ Harmison,,SCJ Broad,GP Swann,SR Patel,RS Bopara,A Flintoff,PD Collingwood,AN Cook,KP Pietersen,0,England,Barabati Stadium,0,2008
Indore,8,India,0,R Sharma,SK Raina,R Vinay Kumar,V Sehwag,V Kohli,G Gambhir,RG Sharma,RA Jadeja,PA Patel,R Ashwin,A Mithun,12,R Rampaul,DJG Sammy,DP Hyatt,KOA Powell,MN Samuels,D Ramdin,SP Narine,LMP Simmons,KAJ Roach,AD Russell,KA Pollard,0,West Indies,Holkar Cricket Stadium,0,2011
Kuala Lumpur,22,Australia,0,AB Agarkar,SK Raina,SR Tendulkar,RP Singh,D Mongia,MS Dhoni,V Sehwag,R Dravid,Harbhajan Singh,M Kaif,MM Patel,9,RT Ponting,MEK Hussey,GB Hogg,BJ Haddin,ML Hayden,DR Martyn,B Lee,A Symonds,SM Katich,GD McGrath,SR Clark,0,India,Kinrara Academy Oval,0,2006
Mirpur,12,Bangladesh,0,PP Chawla,SK Raina,,RP Singh,P Kumar,V Sehwag,G Gambhir,RG Sharma,IK Pathan,YK Pathan,Yuvraj Singh,6,Mashrafe Mortaza,Dolar Mahmud,Shahriar Nafees,Mohammad Ashraful,Tamim Iqbal,Mushfiqur Rahim,Mahmudullah,Abdur Razzak,Alok Kapali,Raqibul Hasan,Farhad Reza,0,India,Shere Bangla National Stadium,1,2008
Visakhapatnam,24,India,0,B Kumar,Yuvraj Singh,Mohammed Shami,MS Dhoni,V Kohli,MM Sharma,RG Sharma,S Dhawan,RA Jadeja,R Ashwin,SK Raina,11,R Rampaul,DJG Sammy,V Permaul,KOA Powell,DM Bravo,SP Narine,LMP Simmons,JO Holder,DJ Bravo,J Charles,MN Samuels,0,West Indies,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,2013
Centurion,3,South Africa,1,VVS Laxman,SR Tendulkar,S Sreesanth,MS Dhoni,D Mongia,V Sehwag,Z Khan,KD Karthik,Harbhajan Singh,A Kumble,IK Pathan,12,AB de Villiers,,,RJ Peterson,M Ntini,SM Pollock,A Nel,JM Kemp,GC Smith,JH Kallis,,0,India,SuperSport Park,0,2006
Ahmedabad,5,India,1,V Sehwag,SK Raina,R Vinay Kumar,V Kohli,G Gambhir,RG Sharma,R Ashwin,UT Yadav,RA Jadeja,A Mithun,PA Patel,12,R Rampaul,DJG Sammy,DP Hyatt,DM Bravo,MN Samuels,D Ramdin,SP Narine,LMP Simmons,KAJ Roach,AD Russell,KA Pollard,0,West Indies,"Sardar Patel Stadium, Motera",1,2011
Auckland,25,New Zealand,0,B Kumar,Mohammed Shami,AM Rahane,VR Aaron,MS Dhoni,V Kohli,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,SK Raina,1,NL McCullum,BB McCullum,TG Southee,JD Ryder,MJ McClenaghan,CJ Anderson,HK Bennett,LRPL Taylor,KS Williamson,L Ronchi,MJ Guptill,1,India,Eden Park,0,2014
Kochi,8,India,1,B Kumar,Mohammed Shami,AM Rahane,A Mishra,AT Rayudu,MS Dhoni,V Kohli,MM Sharma,S Dhawan,RA Jadeja,SK Raina,10,R Rampaul,DJG Sammy,JE Taylor,DM Bravo,MN Samuels,SJ Benn,D Ramdin,DR Smith,AD Russell,DJ Bravo,KA Pollard,0,West Indies,Nehru Stadium,1,2014
Mirpur,12,Bangladesh,1,PP Chawla,MM Patel,Yuvraj Singh,RR Powar,D Mongia,MS Dhoni,R Dravid,V Sehwag,G Gambhir,Z Khan,KD Karthik,5,Mashrafe Mortaza,Habibul Bashar,Shakib Al Hasan,Mohammad Ashraful,Tamim Iqbal,Mushfiqur Rahim,Syed Rasel,Mohammad Rafique,Javed Omar,Abdur Razzak,Aftab Ahmed,0,India,Shere Bangla National Stadium,1,2007
Karachi,3,India,1,RP Singh,SK Raina,Yuvraj Singh,P Kumar,PP Ojha,MS Dhoni,V Sehwag,I Sharma,G Gambhir,RG Sharma,IK Pathan,7,KMDN Kulasekara,CRD Fernando,DPMD Jayawardene,LPC Silva,TM Dilshan,T Thushara,ST Jayasuriya,KC Sangakkara,CK Kapugedera,K Weeraratne,M Muralitharan,0,Sri Lanka,National Stadium,0,2008
Kanpur,11,India,0,RP Singh,Yuvraj Singh,SR Tendulkar,MS Dhoni,G Gambhir,Z Khan,RV Uthappa,M Kartik,SC Ganguly,Harbhajan Singh,IK Pathan,11,Salman Butt,Misbah-ul-Haq,Abdur Rehman,Sohail Tanvir,Kamran Akmal,Shoaib Akhtar,Younis Khan,Umar Gul,Shoaib Malik,Shahid Afridi,Mohammad Yousuf,0,Pakistan,Green Park,0,2007
Perth,6,India,1,MS Dhoni,Mohammed Shami,AM Rahane,V Kohli,MM Sharma,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,UT Yadav,SK Raina,3,JL Carter,DJG Sammy,JE Taylor,CH Gayle,D Ramdin,LMP Simmons,JO Holder,DR Smith,KAJ Roach,AD Russell,MN Samuels,0,West Indies,Western Australia Cricket Association Ground,0,2015
Johannesburg,15,South Africa,1,MS Dhoni,SR Tendulkar,M Vijay,V Kohli,Z Khan,A Nehra,RG Sharma,Harbhajan Singh,MM Patel,SK Raina,Yuvraj Singh,1,DW Steyn,GC Smith,DA Miller,JP Duminy,LL Tsotsobe,M Morkel,AB de Villiers,J Botha,CA Ingram,WD Parnell,HM Amla,0,India,New Wanderers Stadium,1,2011
Jaipur,18,India,1,SR Tendulkar,Yuvraj Singh,S Sreesanth,P Kumar,MS Dhoni,V Sehwag,G Gambhir,M Kartik,RV Uthappa,RG Sharma,IK Pathan,11,Fawad Alam,Misbah-ul-Haq,,Salman Butt,Sohail Tanvir,Iftikhar Anjum,Umar Gul,Imran Nazir,Shoaib Malik,Yasir Hameed,Mohammad Yousuf,0,Pakistan,Sawai Mansingh Stadium,1,2007
Belfast,23,Ireland,0,AB Agarkar,,,PP Chawla,RP Singh,SR Tendulkar,G Gambhir,SC Ganguly,S Sreesanth,,,6,WTS Porterfield,GC Wilson,RK Whelan,DI Joyce,AR White,KED Carroll,DT Johnston,WK McCallan,MJ Fourie,NJ O'Brien,KJ O'Brien,0,India,"Civil Service Cricket Club, Stormont",1,2007
Ahmedabad,24,India,1,MS Dhoni,Yuvraj Singh,SR Tendulkar,V Sehwag,V Kohli,Z Khan,G Gambhir,Harbhajan Singh,R Ashwin,MM Patel,SK Raina,3,RT Ponting,MEK Hussey,JJ Krejza,MJ Clarke,BJ Haddin,B Lee,SR Watson,SW Tait,DJ Hussey,MG Johnson,CL White,0,Australia,"Sardar Patel Stadium, Motera",0,2011
Birmingham,23,England,1,B Kumar,UT Yadav,SK Raina,MS Dhoni,I Sharma,V Kohli,RG Sharma,KD Karthik,S Dhawan,RA Jadeja,R Ashwin,6,SCJ Broad,AN Cook,JE Root,JC Buttler,IJL Trott,TT Bresnan,JC Tredwell,IR Bell,RS Bopara,EJG Morgan,JM Anderson,0,India,Edgbaston,1,2013
Mumbai,2,India,1,SR Tendulkar,S Sreesanth,,MS Dhoni,V Sehwag,V Kohli,Z Khan,G Gambhir,Harbhajan Singh,MM Patel,Yuvraj Singh,4,S Randiv,NLTC Perera,DPMD Jayawardene,TT Samaraweera,KMDN Kulasekara,TM Dilshan,SL Malinga,WU Tharanga,KC Sangakkara,CK Kapugedera,M Muralitharan,0,Sri Lanka,Wankhede Stadium,0,2011
Kuala Lumpur,20,India,0,AB Agarkar,SR Tendulkar,S Sreesanth,RP Singh,MS Dhoni,V Sehwag,R Dravid,Harbhajan Singh,MM Patel,SK Raina,Yuvraj Singh,9,RR Sarwan,MN Samuels,S Chanderpaul,CH Gayle,BC Lara,CD Collymore,RS Morton,DR Smith,WW Hinds,CS Baugh,DJ Bravo,0,West Indies,Kinrara Academy Oval,0,2006
Cardiff,27,England,1,B Kumar,Mohammed Shami,AM Rahane,MS Dhoni,V Kohli,MM Sharma,RG Sharma,S Dhawan,RA Jadeja,R Ashwin,SK Raina,8,AD Hales,CR Woakes,JE Root,JC Buttler,CJ Jordan,JC Tredwell,IR Bell,EJG Morgan,JM Anderson,AN Cook,BA Stokes,0,India,Sophia Gardens,1,2014
Dharmasala,17,India,0,AT Rayudu,Mohammed Shami,AM Rahane,B Kumar,MS Dhoni,V Kohli,AR Patel,S Dhawan,RA Jadeja,UT Yadav,SK Raina,10,DM Bravo,DJG Sammy,JE Taylor,SJ Benn,D Ramdin,JO Holder,DR Smith,AD Russell,DJ Bravo,MN Samuels,KA Pollard,0,West Indies,Himachal Pradesh Cricket Association Stadium,0,2014
Dharamsala,27,India,0,B Kumar,Yuvraj Singh,Shami Ahmed,MS Dhoni,I Sharma,V Kohli,G Gambhir,RG Sharma,RA Jadeja,R Ashwin,SK Raina,1,TT Bresnan,SR Patel,,JC Tredwell,IR Bell,ST Finn,EJG Morgan,AN Cook,KP Pietersen,CR Woakes,JE Root,0,England,Himachal Pradesh Cricket Association Stadium,1,2013
Guwahati,28,India,0,V Kohli,S Sreesanth,M Vijay,G Gambhir,A Nehra,Yuvraj Singh,WP Saha,R Ashwin,MM Patel,SK Raina,YK Pathan,11,NL McCullum,JM How,GD Elliott,AJ McKay,DR Tuffey,LRPL Taylor,KS Williamson,KD Mills,MJ Guptill,SB Styris,GJ Hopkins,0,New Zealand,Nehru Stadium,0,2010
Pune,13,India,1,B Kumar,Yuvraj Singh,R Vinay Kumar,MS Dhoni,I Sharma,V Kohli,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,SK Raina,10,GJ Maxwell,SR Watson,MG Johnson,JP Faulkner,CJ McKay,GJ Bailey,AJ Finch,BJ Haddin,XJ Doherty,AC Voges,PJ Hughes,0,Australia,Maharashtra Cricket Association Stadium,1,2013
Jaipur,1,India,1,A Nehra,M Vijay,,G Gambhir,V Kohli,R Ashwin,MM Patel,YK Pathan,Yuvraj Singh,S Sreesanth,SK Raina,12,NL McCullum,JM How,TG Southee,AJ McKay,LRPL Taylor,KS Williamson,KD Mills,MJ Guptill,SB Styris,GJ Hopkins,DL Vettori,0,New Zealand,Sawai Mansingh Stadium,0,2010
Ahmedabad,26,India,0,AB Agarkar,Yuvraj Singh,SR Tendulkar,RP Singh,MS Dhoni,R Dravid,V Sehwag,Harbhajan Singh,MM Patel,IK Pathan,SK Raina,10,RR Sarwan,JE Taylor,S Chanderpaul,CH Gayle,BC Lara,RS Morton,DR Smith,CS Baugh,DJ Bravo,MN Samuels,IDR Bradshaw,0,West Indies,"Sardar Patel Stadium, Motera",1,2006
Jamaica,28,West Indies,1,RP Singh,YK Pathan,Yuvraj Singh,P Kumar,MS Dhoni,A Nehra,G Gambhir,RG Sharma,KD Karthik,Harbhajan Singh,RA Jadeja,6,R Rampaul,,,SJ Benn,CH Gayle,DE Bernard,RS Morton,DJ Bravo,RR Sarwan,JE Taylor,S Chanderpaul,0,India,"Sabina Park, Kingston",0,2009
Leeds,2,England,1,AB Agarkar,Yuvraj Singh,SR Tendulkar,PP Chawla,RR Powar,MS Dhoni,R Dravid,G Gambhir,Z Khan,KD Karthik,SC Ganguly,9,J Lewis,AN Cook,KP Pietersen,SCJ Broad,OA Shah,MJ Prior,IR Bell,RS Bopara,PD Collingwood,JM Anderson,MS Panesar,0,India,Headingley,1,2007
Nottingham,30,England,0,B Kumar,AM Rahane,,AT Rayudu,V Kohli,MM Sharma,S Dhawan,R Ashwin,RA Jadeja,SK Raina,Mohammed Shami,8,AD Hales,CR Woakes,JE Root,JC Buttler,JC Tredwell,IR Bell,ST Finn,EJG Morgan,JM Anderson,AN Cook,BA Stokes,0,India,Trent Bridge,1,2014
Hambantota,21,Sri Lanka,1,PP Ojha,IK Pathan,SK Raina,MS Dhoni,V Sehwag,V Kohli,G Gambhir,Z Khan,RG Sharma,R Ashwin,UT Yadav,7,HMRKB Herath,LD Chandimal,DPMD Jayawardene,KMDN Kulasekara,TM Dilshan,HDRL Thirimanne,SL Malinga,WU Tharanga,KC Sangakkara,NLTC Perera,AD Mathews,0,India,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",1,2012
Delhi,9,India,1,PP Chawla,Yuvraj Singh,SR Tendulkar,MS Dhoni,V Sehwag,A Nehra,Z Khan,G Gambhir,V Kohli,Harbhajan Singh,YK Pathan,3,W Barresi,PW Borren,ES Szwarczynski,Mudassar Bukhari,TN de Grooth,TLW Cooper,BP Kruger,AN Kervezee,RN ten Doeschate,PM Seelaar,B Zuiderent,0,Netherlands,Feroz Shah Kotla,0,2011
Visakhapatnam,20,India,1,P Kumar,R Vinay Kumar,M Vijay,MS Dhoni,A Nehra,V Kohli,S Dhawan,SS Tiwary,R Ashwin,SK Raina,Yuvraj Singh,10,CJ McKay,CL White,MEK Hussey,MJ Clarke,SPD Smith,MA Starc,JW Hastings,TD Paine,SE Marsh,JR Hopes,NM Hauritz,0,Australia,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,2010
Trinidad,9,India,0,B Kumar,SK Raina,,I Sharma,V Kohli,RG Sharma,KD Karthik,S Dhawan,UT Yadav,RA Jadeja,R Ashwin,7,LHD Dilhara,LD Chandimal,DPMD Jayawardene,RMS Eranga,HMRKB Herath,HDRL Thirimanne,BMAJ Mendis,SL Malinga,WU Tharanga,KC Sangakkara,AD Mathews,0,Sri Lanka,"Queen's Park Oval, Port of Spain",0,2013
Mirpur,5,Afghanistan,0,B Kumar,,,A Mishra,RG Sharma,KD Karthik,S Dhawan,R Ashwin,RA Jadeja,Mohammed Shami,AM Rahane,3,Nawroz Mangal,Najibullah Zadran,Asghar Stanikzai,Dawlat Zadran,Samiullah Shenwari,Mohammad Nabi,Rahmat Shah,Noor Ali Zadran,Shapoor Zadran,Mirwais Ashraf,Mohammad Shahzad,0,India,Shere Bangla National Stadium,1,2014
St Lucia,3,West Indies,0,RP Singh,Yuvraj Singh,,MS Dhoni,I Sharma,A Nehra,G Gambhir,RG Sharma,KD Karthik,Harbhajan Singh,YK Pathan,7,R Rampaul,JE Taylor,S Chanderpaul,DM Bravo,SJ Benn,CH Gayle,D Ramdin,RS Morton,DE Bernard,DJ Bravo,RR Sarwan,0,India,"Beausejour Stadium, Gros Islet",1,2009
Trinidad,5,West Indies,1,B Kumar,SK Raina,M Vijay,I Sharma,V Kohli,RG Sharma,KD Karthik,S Dhawan,RA Jadeja,R Ashwin,UT Yadav,7,DM Bravo,KA Pollard,DJG Sammy,CH Gayle,D Ramdin,SP Narine,TL Best,KAJ Roach,DJ Bravo,J Charles,MN Samuels,0,India,"Queen's Park Oval, Port of Spain",1,2013
Cardiff,6,India,0,B Kumar,UT Yadav,SK Raina,MS Dhoni,I Sharma,V Kohli,RG Sharma,KD Karthik,S Dhawan,RA Jadeja,R Ashwin,6,JP Duminy,F du Plessis,DA Miller,RJ Peterson,M Morkel,RK Kleinveldt,LL Tsotsobe,AB de Villiers,CA Ingram,R McLaren,HM Amla,0,South Africa,Sophia Gardens,0,2013
Durban,12,South Africa,0,MS Dhoni,SR Tendulkar,M Vijay,A Nehra,Z Khan,V Kohli,RG Sharma,Harbhajan Singh,MM Patel,SK Raina,Yuvraj Singh,1,DW Steyn,GC Smith,DA Miller,AB de Villiers,JP Duminy,M Morkel,LL Tsotsobe,J Botha,CA Ingram,WD Parnell,HM Amla,0,India,Kingsmead,0,2011
Chandigarh,8,India,0,RP Singh,Yuvraj Singh,SR Tendulkar,MS Dhoni,R Dravid,Z Khan,RV Uthappa,M Kartik,SC Ganguly,Harbhajan Singh,IK Pathan,10,RT Ponting,MG Johnson,GB Hogg,BJ Hodge,MJ Clarke,ML Hayden,B Lee,NW Bracken,A Symonds,AC Gilchrist,JR Hopes,0,Australia,Sector 16 Stadium,0,2007
Guwahati,5,India,1,RP Singh,Yuvraj Singh,SR Tendulkar,MS Dhoni,Z Khan,G Gambhir,M Kartik,RV Uthappa,SC Ganguly,Harbhajan Singh,IK Pathan,11,Salman Butt,Misbah-ul-Haq,Abdur Rehman,Kamran Akmal,Younis Khan,Shoaib Akhtar,Iftikhar Anjum,Umar Gul,Shoaib Malik,Shahid Afridi,Mohammad Yousuf,0,Pakistan,Nehru Stadium,0,2007
Brisbane,4,Australia,1,PP Chawla,SR Tendulkar,S Sreesanth,P Kumar,MS Dhoni,G Gambhir,RG Sharma,RV Uthappa,Harbhajan Singh,IK Pathan,Yuvraj Singh,3,RT Ponting,MG Johnson,MEK Hussey,MJ Clarke,ML Hayden,B Lee,NW Bracken,A Symonds,SR Clark,AC Gilchrist,JR Hopes,0,India,"Brisbane Cricket Ground, Woolloongabba",1,2008
Chennai,11,India,0,R Sharma,IK Pathan,AM Rahane,V Kohli,G Gambhir,RG Sharma,A Mithun,PA Patel,RA Jadeja,MK Tiwary,SK Raina,12,KOA Powell,A Martin,DJG Sammy,KA Pollard,D Ramdin,SP Narine,LMP Simmons,KAJ Roach,AD Russell,JN Mohammed,MN Samuels,0,West Indies,"MA Chidambaram Stadium, Chepauk",0,2011
Ahmedabad,6,India,1,AT Rayudu,AM Rahane,,I Sharma,V Kohli,AR Patel,S Dhawan,R Ashwin,UT Yadav,RA Jadeja,SK Raina,11,MDKJ Perera,SMA Priyanjan,S Prasanna,S Randiv,TM Dilshan,DPMD Jayawardene,KTGD Prasad,PLS Gamage,KC Sangakkara,NLTC Perera,AD Mathews,0,Sri Lanka,"Sardar Patel Stadium, Motera",0,2014
Colombo,11,India,1,SR Tendulkar,Yuvraj Singh,YK Pathan,RP Singh,MS Dhoni,I Sharma,A Nehra,R Dravid,KD Karthik,Harbhajan Singh,SK Raina,9,JD Ryder,GD Elliott,BB McCullum,SE Bond,JDP Oram,NT Broom,LRPL Taylor,KD Mills,MJ Guptill,IG Butler,DL Vettori,0,New Zealand,R Premadasa Stadium,0,2009
Delhi,17,India,1,P Kumar,,,V Kohli,G Gambhir,R Ashwin,RA Jadeja,UT Yadav,PA Patel,R Vinay Kumar,AM Rahane,10,GP Swann,KP Pietersen,SR Patel,IJL Trott,C Kieswetter,JM Bairstow,TT Bresnan,JW Dernbach,ST Finn,RS Bopara,AN Cook,0,England,Feroz Shah Kotla,0,2011
Port Elizabeth,29,South Africa,0,AB Agarkar,S Sreesanth,W Jaffer,SR Tendulkar,MS Dhoni,V Sehwag,Z Khan,KD Karthik,M Kaif,A Kumble,IK Pathan,11,AB de Villiers,GC Smith,JH Kallis,LE Bosman,AJ Hall,MV Boucher,HH Gibbs,M Ntini,SM Pollock,A Nel,JM Kemp,0,India,St George's Park,0,2006
Centurion,26,India,1,RP Singh,SK Raina,SR Tendulkar,MS Dhoni,I Sharma,A Nehra,V Kohli,G Gambhir,R Dravid,Harbhajan Singh,YK Pathan,9,Saeed Ajmal,Shahid Afridi,Mohammad Yousuf,Kamran Akmal,Younis Khan,Umar Gul,Naved-ul-Hasan,Umar Akmal,Mohammad Amir,Imran Nazir,Shoaib Malik,0,Pakistan,SuperSport Park,1,2009
Wellington,6,New Zealand,1,MS Dhoni,,,V Sehwag,G Gambhir,SK Raina,Yuvraj Singh,SR Tendulkar,,,,3,JD Ryder,,,IE O'Brien,KD Mills,IG Butler,DL Vettori,JDP Oram,,,,2,India,Westpac Stadium,0,2009
Jamaica,26,West Indies,1,RP Singh,YK Pathan,Yuvraj Singh,MS Dhoni,I Sharma,A Nehra,G Gambhir,RG Sharma,KD Karthik,Harbhajan Singh,RA Jadeja,6,DM Bravo,JE Taylor,S Chanderpaul,SJ Benn,CH Gayle,D Ramdin,DE Bernard,RS Morton,DJ Bravo,RR Sarwan,LS Baker,0,India,"Sabina Park, Kingston",1,2009
Perth,30,England,1,AT Rayudu,STR Binny,AM Rahane,MS Dhoni,V Kohli,MM Sharma,AR Patel,S Dhawan,RA Jadeja,SK Raina,Mohammed Shami,1,SCJ Broad,CR Woakes,JE Root,JC Buttler,IR Bell,ST Finn,RS Bopara,MM Ali,JM Anderson,JWA Taylor,EJG Morgan,0,India,Western Australia Cricket Association Ground,0,2015
Jaipur,16,India,1,B Kumar,,,I Sharma,V Kohli,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,Yuvraj Singh,R Vinay Kumar,10,GJ Maxwell,SR Watson,MG Johnson,JP Faulkner,CJ McKay,GJ Bailey,AJ Finch,BJ Haddin,XJ Doherty,AC Voges,PJ Hughes,0,Australia,Sawai Mansingh Stadium,0,2013
Chandigarh,23,India,1,B Kumar,Yuvraj Singh,Shami Ahmed,MS Dhoni,I Sharma,V Kohli,G Gambhir,RG Sharma,R Ashwin,RA Jadeja,SK Raina,1,JC Buttler,KP Pietersen,JE Root,JW Dernbach,TT Bresnan,SR Patel,IR Bell,JC Tredwell,ST Finn,EJG Morgan,AN Cook,0,England,"Punjab Cricket Association Stadium, Mohali",0,2013
Glasgow,16,Scotland,0,AB Agarkar,Yuvraj Singh,,PP Chawla,RP Singh,RR Powar,R Dravid,G Gambhir,RV Uthappa,KD Karthik,MM Patel,8,NFI McCallum,CM Wright,GM Hamilton,CJO Smith,NS Poonia,RR Watson,DF Watts,JD Nel,PJC Hoffmann,RM Haq,JAR Blain,0,India,Titwood,1,2007
Ahmedabad,27,India,1,MS Dhoni,S Tyagi,M Vijay,V Kohli,RG Sharma,KD Karthik,A Mithun,RA Jadeja,YK Pathan,SK Raina,S Sreesanth,2,DW Steyn,,,AB de Villiers,LL Tsotsobe,M Morkel,LE Bosman,J Botha,HM Amla,RE van der Merwe,JH Kallis,0,South Africa,"Sardar Patel Stadium, Motera",1,2010
Hyderabad,5,India,1,SR Tendulkar,Yuvraj Singh,S Sreesanth,MS Dhoni,R Dravid,Z Khan,G Gambhir,RV Uthappa,RG Sharma,Harbhajan Singh,IK Pathan,10,RT Ponting,MG Johnson,GB Hogg,BJ Hodge,MJ Clarke,ML Hayden,B Lee,A Symonds,AC Gilchrist,SR Clark,JR Hopes,0,Australia,"Rajiv Gandhi International Stadium, Uppal",1,2007
